car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai ALCAZAR,Hyundai,2022,26698,Petrol,Manual,19348,1130000.0
Ford Ecosport,Ford,2016,84622,Diesel,Manual,9356,355000.0
Maruti Swift,Maruti,2018,37239,Petrol,Manual,6708,380000.0
Tata Indigo ECS,Tata,2015,96240,Diesel,Manual,4646,140000.0
Tata Tiago,Tata,2022,14740,Petrol,Manual,8297,470000.0
Maruti Swift Dzire,Maruti,2014,89040,Petrol,Manual,6975,210000.0
KIA SELTOS,KIA,2020,91899,Petrol,Auto,16009,935000.0
Maruti New Wagon-R,Maruti,2021,80358,Petrol,Manual,5155,292000.0
Honda Amaze,Honda,2014,58085,Petrol,Manual,8380,252000.0
Maruti Alto K10,Maruti,2018,36954,Petrol,Manual,4660,264000.0
Hyundai Elite i20,Hyundai,2017,57569,Petrol,Manual,8580,438999.99999999994
Hyundai i10,Hyundai,2016,63095,Petrol,Manual,4293,193000.0
Maruti Swift Dzire,Maruti,2016,81807,Petrol,Manual,7051,317000.0
Maruti Swift,Maruti,2017,41239,Petrol,Manual,7035,360000.0
Tata Tiago,Tata,2017,55831,Petrol,Manual,5103,261000.0
Maruti S Cross,Maruti,2015,91451,Diesel,Manual,9732,293000.0
Mahindra XUV300,Mahindra,2021,94572,Diesel,Auto,9868,559000.0
Tata NEXON,Tata,2018,70648,Diesel,Manual,7214,369000.0
Honda City,Honda,2019,81563,Petrol,Manual,9850,558000.0
Maruti Swift Dzire,Maruti,2017,79717,Diesel,Manual,7541,339000.0
Maruti Swift Dzire,Maruti,2012,150306,Diesel,Manual,7541,106000.0
Mahindra XUV500,Mahindra,2014,107148,Diesel,Manual,16476,350000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,20216,Petrol,Manual,6549,371000.0
Hyundai Verna,Hyundai,2015,87605,Petrol,Auto,6583,250000.0
Maruti BREZZA,Maruti,2022,56562,Petrol,Manual,10569,599000.0
Honda Amaze,Honda,2019,55434,Petrol,Manual,7326,415000.00000000006
Hyundai Elite i20,Hyundai,2017,64792,Petrol,Manual,8817,451000.0
Volkswagen Polo,Volkswagen,2016,76500,Petrol,Manual,6673,300000.0
Honda Amaze,Honda,2013,174505,Petrol,Manual,11015,234000.0
Maruti Baleno,Maruti,2016,103008,Petrol,Manual,6206,279000.0
Maruti Wagon R 1.0,Maruti,2016,95775,Petrol,Manual,4449,200000.0
Hyundai i10,Hyundai,2012,63888,Petrol,Manual,11550,130000.0
Honda City,Honda,2014,128312,Diesel,Manual,10450,222000.00000000003
Hyundai Verna,Hyundai,2013,136906,Diesel,Manual,17770,200000.0
Maruti Alto 800,Maruti,2013,65814,Petrol,Manual,7155,152000.0
Hyundai Xcent,Hyundai,2015,33440,Petrol,Manual,5925,225000.0
KIA SELTOS,KIA,2023,33383,Diesel,Manual,16369,956000.0
Tata Tiago,Tata,2018,160805,Petrol,Manual,6673,300000.0
Volkswagen Polo,Volkswagen,2011,62000,Petrol,Manual,6673,145000.0
Maruti Celerio,Maruti,2015,166314,Petrol,Manual,5267,200000.0
Hyundai Verna,Hyundai,2011,111820,Diesel,Manual,5267,113999.99999999999
Hyundai Verna,Hyundai,2013,157439,Diesel,Manual,23811,268000.0
Maruti Ciaz,Maruti,2015,104530,Petrol,Manual,8400,319000.0
Maruti Grand Vitara,Maruti,2024,40592,Petrol,Manual,15256,891000.0
Ford Ecosport,Ford,2014,106815,Petrol,Manual,8104,244000.0
Maruti Alto K10,Maruti,2013,110187,Petrol,Manual,9132,194000.0
Maruti Baleno,Maruti,2016,128629,Petrol,Manual,6896,310000.0
Hyundai VENUE,Hyundai,2023,66731,Petrol,Manual,11474,650000.0
Maruti Swift Dzire,Maruti,2013,156358,Diesel,Manual,25766,290000.0
Mahindra Kuv100,Mahindra,2016,85512,Diesel,Manual,7163,272000.0
Honda Amaze,Honda,2014,116670,Diesel,Manual,10639,225999.99999999997
