car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Renault Kwid,Renault,2016,77314,Petrol,Manual,5558,250000.0
Maruti Alto 800,Maruti,2012,60998,Petrol,Manual,15774,178000.0
Renault Kwid,Renault,2016,48002,Petrol,Manual,4449,200000.0
Hyundai i20,Hyundai,2013,103608,Petrol,Manual,13257,282000.0
Maruti Swift,Maruti,2017,99975,Diesel,Manual,10865,488000.0
Hyundai VENUE,Hyundai,2021,49149,Petrol,Manual,13257,751000.0
Maruti Baleno,Maruti,2016,104538,Petrol,Manual,9535,429000.0
Ford Figo Aspire,Ford,2017,32188,Petrol,Manual,6491,332000.0
Honda Amaze,Honda,2015,82922,Petrol,Manual,9087,345000.0
Renault Kiger,Renault,2021,69308,Petrol,Auto,8650,490000.00000000006
Maruti Dzire,Maruti,2017,57715,Petrol,Auto,10174,520000.0
Tata NEXON,Tata,2021,48804,Petrol,Manual,10926,619000.0
Hyundai i10,Hyundai,2016,57449,Petrol,Manual,6010,270000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,32832,Petrol,Manual,9585,543000.0
KIA SONET,KIA,2024,33565,Petrol,Manual,16352,955000.0000000001
Tata PUNCH,Tata,2024,39304,CNG,Manual,13416,760000.0
Nissan MAGNITE,Nissan,2022,41962,Petrol,Auto,11298,640000.0
Hyundai Grand i10,Hyundai,2017,79381,Petrol,Manual,6946,355000.0
Hyundai VENUE,Hyundai,2019,71061,Petrol,Auto,11104,629000.0
Hyundai Creta,Hyundai,2021,75777,Petrol,Manual,13363,757000.0
Maruti Wagon R 1.0,Maruti,2017,88391,Petrol,Manual,5455,279000.0
Hyundai Grand i10,Hyundai,2016,87759,Petrol,Auto,7852,353000.0
Maruti Wagon R 1.0,Maruti,2014,88365,Petrol,Manual,9862,297000.0
Hyundai Creta,Hyundai,2016,31439,Petrol,Manual,11672,525000.0
Tata TIGOR,Tata,2018,62198,Petrol,Manual,6637,376000.0
Hyundai i10,Hyundai,2013,95448,Petrol,Manual,7814,166000.0
Honda Jazz,Honda,2016,63777,Petrol,Auto,9209,413999.99999999994
Renault Kwid,Renault,2018,57949,Petrol,Manual,4413,250000.0
Hyundai i20 Active,Hyundai,2017,60535,Petrol,Manual,8006,409000.0
Hyundai Grand i10,Hyundai,2017,80082,Petrol,Auto,6569,336000.0
Hyundai Elite i20,Hyundai,2018,115598,Petrol,Manual,6829,307000.0
Hyundai Verna,Hyundai,2021,79716,Diesel,Manual,14931,872000.0000000001
Hyundai Grand i10,Hyundai,2016,144697,Petrol,Auto,7341,330000.0
Datsun Go,Datsun,2014,24712,Petrol,Manual,5082,153000.0
Volkswagen Polo,Volkswagen,2016,97298,Petrol,Manual,8164,367000.0
Renault Kwid,Renault,2019,40122,Petrol,Manual,4660,264000.0
Maruti Alto 800,Maruti,2015,99324,Petrol,Manual,3713,141000.0
Hyundai i20,Hyundai,2013,38799,Petrol,Manual,13499,287000.0
Maruti Dzire,Maruti,2018,52869,Petrol,Auto,8191,463999.99999999994
Volkswagen TAIGUN,Volkswagen,2022,93697,Petrol,Manual,11121,630000.0
Honda Amaze,Honda,2017,79704,Petrol,Manual,6295,322000.0
Datsun Redi Go,Datsun,2018,76264,Petrol,Manual,3213,182000.0
Ford Ecosport,Ford,2013,139659,Diesel,Manual,25233,284000.0
Maruti Celerio,Maruti,2015,91909,Petrol,Auto,8315,316000.0
Nissan MAGNITE,Nissan,2024,15857,Petrol,Auto,10415,590000.0
Ford Ecosport,Ford,2017,123543,Diesel,Manual,10255,461000.00000000006
Hyundai Grand i10,Hyundai,2019,43697,Petrol,Manual,7830,444000.00000000006
Hyundai NEW I20 N LINE,Hyundai,2021,37163,Petrol,Auto,12710,720000.0
Hyundai Creta,Hyundai,2018,83121,Petrol,Auto,12661,717000.0
Maruti Celerio,Maruti,2017,102937,Petrol,Manual,6317,284000.0
Tata Tiago,Tata,2018,107749,Petrol,Manual,6518,293000.0
Chevrolet Beat,Chevrolet,2014,132192,Diesel,Manual,6120,130000.0
Maruti IGNIS,Maruti,2017,63285,Petrol,Manual,7527,385000.0
Hyundai Elite i20,Hyundai,2017,49960,Petrol,Manual,9149,468000.0
Ford Ecosport,Ford,2020,59560,Petrol,Manual,10468,593000.0
Tata ALTROZ,Tata,2021,37859,Diesel,Manual,10639,603000.0
Toyota Glanza,Toyota,2020,59309,Petrol,Auto,10751,609000.0
Maruti Ertiga,Maruti,2016,87681,Petrol,Manual,13412,603000.0
Maruti Baleno,Maruti,2023,19032,Petrol,Manual,12092,685000.0
Tata NEXON,Tata,2023,36316,Petrol,Auto,11774,667000.0
Honda Amaze,Honda,2024,19688,Petrol,Auto,13421,760000.0
Renault TRIBER,Renault,2020,76244,Petrol,Auto,8526,483000.0
Honda WR-V,Honda,2017,135810,Petrol,Manual,8787,395000.0
Hyundai VENUE,Hyundai,2021,19027,Petrol,Manual,11933,676000.0
Renault TRIBER,Renault,2020,29884,Petrol,Auto,9133,517000.0
Maruti Ciaz,Maruti,2016,35074,Petrol,Manual,11456,515000.00000000006
Tata NEXON,Tata,2020,94220,Diesel,Manual,10415,590000.0
Maruti Celerio,Maruti,2015,55765,Petrol,Auto,7720,293000.0
Maruti Swift,Maruti,2017,57423,Petrol,Manual,8837,451999.99999999994
Hyundai Verna,Hyundai,2018,74022,Petrol,Auto,9956,564000.0
Toyota YARIS,Toyota,2019,127430,Petrol,Manual,9810,441000.0
Hyundai Elite i20,Hyundai,2016,99774,Petrol,Manual,7830,352000.0
Hyundai Elite i20,Hyundai,2016,47421,Petrol,Manual,9587,430999.99999999994
KIA SONET,KIA,2020,68265,Petrol,Manual,10715,607000.0
Honda WR-V,Honda,2018,111028,Diesel,Manual,10655,479000.0
Hyundai VENUE,Hyundai,2021,57326,Petrol,Manual,11781,667000.0
Tata Indigo ECS,Tata,2013,98911,Diesel,Manual,12972,146000.0
Volkswagen Vento,Volkswagen,2013,108521,Petrol,Manual,13322,283000.0
Volkswagen Polo,Volkswagen,2020,118306,Petrol,Auto,12949,582000.0
Hyundai Eon,Hyundai,2018,23509,Petrol,Manual,5190,294000.0
Volkswagen VIRTUS,Volkswagen,2022,26757,Petrol,Auto,17174,1002999.9999999999
Hyundai NEW SANTRO,Hyundai,2020,48012,Petrol,Manual,6443,365000.0
Skoda Rapid,Skoda,2018,75807,Diesel,Manual,11670,597000.0
Ford Ecosport,Ford,2020,99361,Diesel,Manual,11280,639000.0
Maruti Baleno,Maruti,2018,84237,Petrol,Manual,8809,499000.0
Hyundai Elite i20,Hyundai,2018,123137,Petrol,Manual,8141,366000.0
Tata TIAGO NRG,Tata,2022,39806,Petrol,Auto,8579,486000.00000000006
Maruti Alto K10,Maruti,2015,104156,Petrol,Auto,5609,213000.0
Maruti Celerio,Maruti,2015,103178,Petrol,Manual,7215,274000.0
Maruti Baleno,Maruti,2022,39528,Petrol,Auto,12886,730000.0
Hyundai Grand i10,Hyundai,2017,42010,Petrol,Manual,7155,366000.0
Volkswagen Vento,Volkswagen,2015,104054,Diesel,Manual,12455,375000.0
Honda City,Honda,2021,34061,Petrol,Manual,14065,797000.0
Renault TRIBER,Renault,2021,40007,Petrol,Manual,9621,545000.0
Tata Tiago,Tata,2018,103888,Petrol,Manual,6696,301000.0
Nissan MAGNITE,Nissan,2021,27728,Petrol,Auto,11333,642000.0
Ford Ecosport,Ford,2017,39957,Diesel,Manual,12012,540000.0
Maruti Alto 800,Maruti,2016,92232,Petrol,Manual,5116,229999.99999999997
Hyundai GRAND I10 NIOS,Hyundai,2022,4494,Petrol,Auto,10734,608000.0
Tata Tiago,Tata,2019,83231,Petrol,Manual,5667,321000.0
Tata Tiago,Tata,2018,48517,Petrol,Manual,6267,355000.0
Tata NEXON,Tata,2021,28791,Petrol,Manual,9991,566000.0
Tata Tiago,Tata,2018,39282,Petrol,Auto,6973,395000.0
Volkswagen Polo,Volkswagen,2013,79582,Petrol,Manual,13181,280000.0
Hyundai VENUE,Hyundai,2020,54804,Petrol,Auto,12283,696000.0
Maruti Alto K10,Maruti,2025,7833,Petrol,Auto,9016,511000.00000000006
Datsun Redi Go,Datsun,2021,75534,Petrol,Manual,4378,248000.0
Volkswagen Ameo,Volkswagen,2016,24916,Petrol,Manual,10446,470000.0
Hyundai Elite i20,Hyundai,2016,146409,Petrol,Manual,7763,349000.0
Maruti S PRESSO,Maruti,2021,36176,Petrol,Auto,6655,377000.0
Tata PUNCH,Tata,2024,27354,Petrol,Manual,12888,730000.0
Maruti S PRESSO,Maruti,2020,40065,Petrol,Manual,5896,334000.0
Maruti Baleno,Maruti,2021,27795,Petrol,Manual,10571,599000.0
Skoda Rapid,Skoda,2020,93148,Petrol,Auto,9250,524000.0
Tata NEXON,Tata,2022,79488,Petrol,Manual,10899,617000.0
Honda City,Honda,2017,36457,Petrol,Manual,12564,643000.0
Skoda Rapid,Skoda,2017,126243,Petrol,Manual,9165,412000.0
Hyundai Creta,Hyundai,2019,45403,Petrol,Manual,11615,658000.0
Hyundai Creta,Hyundai,2018,124513,Petrol,Auto,12679,570000.0
