car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Eon,Hyundai,2015,84569,Petrol,Manual,11474,126000.0
Honda City,Honda,2014,118794,Diesel,Manual,15249,212000.0
Honda Amaze,Honda,2013,166700,Diesel,Manual,7656,157000.0
Maruti Swift,Maruti,2023,35442,Petrol,Manual,30820,541000.0
Hyundai Grand i10,Hyundai,2018,106672,Petrol,Manual,5762,323000.0
Maruti Baleno,Maruti,2019,170842,Petrol,Manual,10296,416000.0
Hyundai Elite i20,Hyundai,2018,108000,Petrol,Manual,13930,316000.0
Maruti Wagon R 1.0,Maruti,2011,159417,Petrol,Manual,10136,114999.99999999999
Maruti Eeco,Maruti,2015,192643,Petrol,Manual,33590,61000.0
Tata Tiago,Tata,2021,46278,Petrol,Manual,29764,407000.0
Mahindra XUV500,Mahindra,2015,141110,Diesel,Manual,12156,365000.0
Hyundai Verna,Hyundai,2018,90977,Diesel,Manual,16082,508000.0
Hyundai i20,Hyundai,2011,80250,Petrol,Manual,8424,65000.0
Maruti Eeco,Maruti,2017,164062,Petrol,Manual,8547,296000.0
Mahindra XUV300,Mahindra,2023,23828,Petrol,Manual,11651,670000.0
Hyundai Creta,Hyundai,2017,100655,Diesel,Auto,7669,533000.0
Maruti Baleno,Maruti,2024,51814,Petrol,Manual,16423,711000.0
Hyundai Elite i20,Hyundai,2015,128568,Diesel,Manual,6252,327000.0
Renault Kwid,Renault,2016,87379,Petrol,Auto,25715,164000.0
Hyundai Verna,Hyundai,2012,123236,Diesel,Manual,12121,145000.0
Maruti Swift,Maruti,2012,130171,Diesel,Manual,8976,206000.0
Honda Amaze,Honda,2023,29803,Petrol,Manual,8138,556000.0
Tata ALTROZ,Tata,2024,36234,Petrol,Manual,16928,805000.0000000001
Hyundai Verna,Hyundai,2018,42329,Petrol,Auto,13734,646000.0
Nissan Sunny,Nissan,2013,141301,Diesel,Manual,10002,99000.0
Volkswagen Polo,Volkswagen,2014,120073,Diesel,Manual,8954,217000.0
Hyundai Eon,Hyundai,2014,218830,Petrol,Manual,9943,118000.0
Hyundai Elite i20,Hyundai,2015,103669,Diesel,Manual,21403,312000.0
Honda Brio,Honda,2013,106637,Petrol,Manual,11184,175000.0
Maruti Alto 800,Maruti,2013,85724,Petrol,Manual,22944,150000.0
