car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Tata Zest,Tata,2014,77853,Petrol,Manual,8104,244000.0
Mahindra TUV300,Mahindra,2017,123272,Diesel,Manual,11591,521000.0
Hyundai i10,Hyundai,2015,49938,Petrol,Manual,7612,289000.0
Hyundai Elite i20,Hyundai,2018,70303,Petrol,Manual,8570,484999.99999999994
Volkswagen Polo,Volkswagen,2014,59971,Petrol,Manual,9740,293000.0
Maruti Swift,Maruti,2019,98709,Petrol,Manual,6743,382000.0
Hyundai Elite i20,Hyundai,2016,78328,Diesel,Manual,13141,499000.0
Nissan MAGNITE,Nissan,2022,71463,Petrol,Manual,7414,420000.0
Maruti Alto 800,Maruti,2012,64089,Petrol,Manual,14162,159000.0
Maruti New Wagon-R,Maruti,2021,53371,Petrol,Auto,8357,473000.00000000006
Maruti Alto 800,Maruti,2013,60385,Petrol,Manual,8476,180000.0
Tata Tiago,Tata,2018,75356,Petrol,Manual,6522,369000.0
Hyundai GRAND I10 NIOS,Hyundai,2019,105170,Petrol,Manual,8965,403000.0
Maruti Swift,Maruti,2013,36500,Petrol,Manual,16443,349000.0
Hyundai Creta,Hyundai,2020,49160,Petrol,Auto,19725,1152000.0
Hyundai Grand i10,Hyundai,2016,87020,Petrol,Manual,6918,311000.0
Datsun Go,Datsun,2016,43007,Petrol,Manual,4898,220000.00000000003
Renault Kwid,Renault,2018,43357,Petrol,Manual,4201,238000.0
Hyundai i10,Hyundai,2013,21592,Petrol,Auto,14828,315000.0
Maruti Wagon R 1.0,Maruti,2013,34301,Petrol,Manual,12302,261000.0
Hyundai Verna,Hyundai,2014,144910,Diesel,Manual,17641,375000.0
Renault TRIBER,Renault,2022,24010,Petrol,Auto,9908,561000.0
Maruti IGNIS,Maruti,2017,103288,Petrol,Auto,7541,339000.0
KIA SELTOS,KIA,2023,49208,Petrol,Manual,16609,969999.9999999999
Renault Kwid,Renault,2018,63313,Petrol,Manual,3742,212000.0
Maruti Alto K10,Maruti,2012,48478,Petrol,Manual,14338,161000.0
Honda City,Honda,2014,91007,Petrol,Manual,15744,474000.0
Hyundai Verna,Hyundai,2012,111489,Diesel,Manual,15744,254999.99999999997
Maruti Swift,Maruti,2019,53434,Petrol,Manual,7846,444000.00000000006
Maruti Wagon R 1.0,Maruti,2014,93275,Petrol,Manual,5945,179000.0
Maruti Alto K10,Maruti,2019,61301,Petrol,Manual,4925,279000.0
Maruti S PRESSO,Maruti,2021,57072,Petrol,Auto,6833,387000.0
KIA SELTOS,KIA,2022,72277,Diesel,Manual,19177,1120000.0
Renault Kwid,Renault,2022,45071,Petrol,Auto,6811,386000.0
Mahindra XUV700,Mahindra,2022,50475,Petrol,Auto,23418,1368000.0
Volkswagen Vento,Volkswagen,2020,75662,Petrol,Manual,12692,719000.0
Renault Kwid,Renault,2018,51940,Petrol,Auto,5684,322000.0
Maruti Dzire,Maruti,2021,103873,Petrol,Manual,10588,476000.0
Tata NEXON,Tata,2022,51538,Petrol,Manual,14212,830000.0000000001
Hyundai VENUE,Hyundai,2020,119717,Petrol,Auto,15349,690000.0
MG HECTOR PLUS,MG,2021,84771,Diesel,Manual,20718,1210000.0
Maruti New Wagon-R,Maruti,2020,86495,Petrol,Auto,7379,418000.0
Hyundai Elite i20,Hyundai,2017,92495,Petrol,Manual,7155,366000.0
Maruti Ciaz,Maruti,2018,131896,Petrol,Manual,10522,473000.00000000006
Maruti Swift,Maruti,2020,121832,Petrol,Manual,8585,386000.0
Maruti Celerio,Maruti,2014,32992,Petrol,Auto,10296,310000.0
Renault Kwid,Renault,2016,96269,Petrol,Manual,3626,163000.0
Volkswagen TAIGUN,Volkswagen,2021,69553,Petrol,Manual,21009,1227000.0
Hyundai Grand i10,Hyundai,2018,31035,Petrol,Manual,6955,394000.0
MG HECTOR,MG,2020,64147,Diesel,Manual,16501,964000.0
Tata ALTROZ,Tata,2021,105264,Diesel,Manual,9830,442000.0
Renault Kwid,Renault,2020,52389,Petrol,Manual,5049,286000.0
Maruti Alto 800,Maruti,2015,37675,Petrol,Manual,4240,161000.0
Tata Tiago,Tata,2020,139031,Petrol,Manual,7046,317000.0
Maruti Celerio,Maruti,2021,33389,Petrol,Manual,6214,352000.0
Hyundai VENUE,Hyundai,2021,78864,Petrol,Manual,11033,625000.0
Honda WR-V,Honda,2018,67821,Petrol,Manual,7591,430000.0
Maruti BREZZA,Maruti,2023,20940,Petrol,Manual,16951,990000.0
Ford Figo Aspire,Ford,2015,107583,Petrol,Manual,5477,208000.0
Hyundai GRAND I10 NIOS,Hyundai,2020,65142,Petrol,Manual,7891,447000.0
KIA SELTOS,KIA,2022,55601,Diesel,Manual,14640,855000.0000000001
Hyundai Grand i10,Hyundai,2016,80179,Petrol,Auto,7118,320000.0
Maruti Alto K10,Maruti,2015,29429,Petrol,Auto,6320,240000.0
Maruti Swift,Maruti,2014,67885,Petrol,Manual,8636,260000.0
KIA SONET,KIA,2022,71490,Diesel,Manual,15068,880000.0000000001
Hyundai Grand i10,Hyundai,2015,118778,Petrol,Manual,8477,322000.0
Mahindra XUV500,Mahindra,2018,118011,Diesel,Manual,17128,770000.0
Maruti Baleno,Maruti,2022,70833,Petrol,Manual,8350,473000.00000000006
Chevrolet Sail UVA,Chevrolet,2013,48283,Petrol,Manual,9838,209000.0
Maruti Swift,Maruti,2019,112500,Petrol,Auto,8653,389000.0
Nissan Terrano,Nissan,2014,88332,Diesel,Manual,17547,373000.0
Mahindra Thar,Mahindra,2021,37111,Petrol,Auto,17105,999000.0
KIA SONET,KIA,2020,71317,Petrol,Manual,10592,600000.0
Mercedes Benz GLA Class,Mercedes,2014,88220,Diesel,Auto,55929,1200000.0
Hyundai Eon,Hyundai,2012,88924,Petrol,Manual,10573,119000.0
Renault Kwid,Renault,2017,48587,Petrol,Manual,4203,215000.0
Maruti Baleno,Maruti,2016,69549,Petrol,Manual,8882,399000.0
Maruti Swift,Maruti,2019,23219,Petrol,Manual,8552,484000.0
Nissan MAGNITE,Nissan,2022,45514,Petrol,Auto,10698,606000.0
Hyundai VENUE,Hyundai,2020,67296,Diesel,Manual,13240,750000.0
Maruti Ertiga,Maruti,2019,65456,Petrol,Auto,13426,761000.0
Hyundai Elite i20,Hyundai,2017,68595,Diesel,Manual,10681,480000.0
MG HECTOR PLUS,MG,2020,78476,Petrol,Auto,20290,1185000.0
Maruti Dzire,Maruti,2018,40523,Petrol,Manual,8713,494000.00000000006
Tata Tiago,Tata,2016,98516,Diesel,Manual,7130,271000.0
Datsun Go Plus,Datsun,2017,65431,Petrol,Manual,4985,254999.99999999997
Tata NEXON,Tata,2018,104000,Diesel,Auto,10700,480999.99999999994
Honda Amaze,Honda,2019,39777,Petrol,Manual,8332,472000.0
KIA SONET,KIA,2020,38102,Petrol,Auto,13045,739000.0
Volkswagen Polo,Volkswagen,2019,84513,Petrol,Manual,7422,420000.0
Maruti Swift Dzire,Maruti,2015,137216,Petrol,Manual,8564,325000.0
Renault Kwid,Renault,2019,63437,Petrol,Auto,4607,261000.0
Skoda Rapid,Skoda,2019,28310,Petrol,Manual,10536,597000.0
Honda Amaze,Honda,2016,92676,Diesel,Manual,8295,315000.0
Maruti Dzire,Maruti,2020,77670,Petrol,Auto,8261,468000.0
Renault Kwid,Renault,2017,44636,Petrol,Auto,4262,218000.00000000003
Maruti Swift,Maruti,2015,83737,Diesel,Manual,11990,361000.0
Tata NEXON,Tata,2019,84643,Petrol,Auto,9568,542000.0
Maruti Alto 800,Maruti,2015,105458,Petrol,Manual,3871,147000.0
Hyundai Elite i20,Hyundai,2015,92619,Diesel,Manual,13286,400000.0
Maruti Baleno,Maruti,2015,97193,Petrol,Auto,8958,340000.0
Maruti Wagon R 1.0,Maruti,2012,81230,Petrol,Manual,16881,190000.0
Hyundai VENUE,Hyundai,2021,52318,Diesel,Manual,15051,878999.9999999999
Honda BR-V,Honda,2018,69152,Petrol,Manual,10454,592000.0
Hyundai Elite i20,Hyundai,2017,94615,Petrol,Manual,7941,405999.99999999994
Hyundai Grand i10,Hyundai,2014,40965,Petrol,Manual,8503,256000.0
Hyundai VENUE,Hyundai,2019,38118,CNG,Manual,11869,607000.0
Maruti Alto 800,Maruti,2017,39580,Petrol,Manual,3128,160000.0
Nissan MAGNITE,Nissan,2021,88008,Petrol,Manual,8756,496000.0
Tata Tiago,Tata,2019,66680,Petrol,Manual,6885,390000.0
Mahindra XUV700,Mahindra,2022,49147,Diesel,Manual,25341,1480000.0
Hyundai Elite i20,Hyundai,2019,90928,Petrol,Manual,9179,520000.0
Maruti Alto 800,Maruti,2016,78236,Petrol,Manual,4338,195000.0
Tata ALTROZ,Tata,2021,55699,Petrol,Manual,7396,419000.00000000006
Volkswagen Vento,Volkswagen,2018,67028,Petrol,Auto,10751,609000.0
Honda Amaze,Honda,2015,81143,Petrol,Manual,7479,284000.0
Renault TRIBER,Renault,2023,22597,Petrol,Manual,9444,535000.0
Honda Amaze,Honda,2020,115246,Diesel,Manual,11323,509000.0
Maruti Wagon R 1.0,Maruti,2015,78805,Petrol,Manual,6188,235000.0
Honda Amaze,Honda,2023,49814,Petrol,Manual,11015,624000.0
Mahindra Thar,Mahindra,2023,27242,Petrol,Auto,20975,1225000.0
Ford FREESTYLE,Ford,2020,114560,Petrol,Manual,8475,381000.0
Ford Ecosport,Ford,2018,109010,Diesel,Manual,10544,474000.0
Maruti Ertiga,Maruti,2022,16466,Petrol,Auto,16425,959000.0
Ford Ecosport,Ford,2016,114002,Diesel,Manual,9928,377000.0
Maruti Wagon R 1.0,Maruti,2013,58604,Petrol,Manual,8567,182000.0
Maruti Alto,Maruti,2020,26206,Petrol,Manual,4351,246000.0
Ford New Figo,Ford,2019,101867,Petrol,Manual,7118,320000.0
Toyota Glanza,Toyota,2023,21286,Petrol,Manual,13192,747000.0
KIA SELTOS,KIA,2020,92058,Petrol,Manual,13063,740000.0
Ford FREESTYLE,Ford,2018,111118,Diesel,Manual,8920,401000.0
Maruti Alto 800,Maruti,2018,43035,Petrol,Manual,3795,215000.0
Maruti S PRESSO,Maruti,2019,14562,Petrol,Auto,5614,318000.0
Maruti S PRESSO,Maruti,2021,117149,Petrol,Auto,5917,266000.0
Hyundai VENUE,Hyundai,2019,120117,Petrol,Manual,13035,586000.0
Hyundai NEW I20,Hyundai,2023,33459,Petrol,Auto,12286,696000.0
Maruti Swift Dzire,Maruti,2016,109134,Petrol,Manual,8119,365000.0
Tata PUNCH,Tata,2023,15878,Petrol,Auto,11106,629000.0
KIA SONET,KIA,2023,66402,Petrol,Manual,12710,720000.0
Tata TIGOR,Tata,2022,84608,CNG,Manual,9709,550000.0
Datsun Go,Datsun,2017,16584,Petrol,Manual,4692,240000.0
Toyota Etios,Toyota,2014,80834,Diesel,Manual,18275,388000.0
Maruti Swift Dzire,Maruti,2013,15195,Diesel,Manual,32252,363000.0
Ford Figo Aspire,Ford,2019,63356,Petrol,Manual,6390,362000.0
Tata NEXON,Tata,2023,19397,Petrol,Manual,15393,899000.0
Maruti Wagon R 1.0,Maruti,2014,115085,Petrol,Manual,6909,208000.0
Maruti BREZZA,Maruti,2023,70672,CNG,Manual,15753,919999.9999999999
Tata Tiago,Tata,2017,93785,Petrol,Manual,6237,319000.0
Maruti Baleno,Maruti,2018,89538,Petrol,Manual,7242,409999.99999999994
Maruti Wagon R 1.0,Maruti,2012,99902,Petrol,Manual,15089,170000.0
Maruti Swift,Maruti,2017,48231,Diesel,Manual,9676,434999.99999999994
Toyota Etios,Toyota,2013,129839,Petrol,Manual,13025,277000.0
Maruti Vitara Brezza,Maruti,2019,62836,Diesel,Auto,13725,778000.0
Hyundai GRAND I10 NIOS,Hyundai,2020,101840,Petrol,Auto,9565,430000.0
Maruti Alto 800,Maruti,2019,51351,Petrol,Manual,4431,250999.99999999997
Maruti Alto 800,Maruti,2018,80469,Petrol,Manual,3336,189000.0
Hyundai Grand i10,Hyundai,2015,73826,Petrol,Manual,7479,284000.0
Maruti Celerio,Maruti,2018,145737,CNG,Manual,6362,286000.0
Ford Ecosport,Ford,2019,67795,Petrol,Auto,11242,637000.0
Tata NEXON,Tata,2023,43722,Petrol,Manual,15992,934000.0
Hyundai Eon,Hyundai,2014,84597,Petrol,Manual,6477,195000.0
Ford Figo Aspire,Ford,2020,49821,Diesel,Manual,8787,498000.00000000006
Tata Tiago,Tata,2018,57408,Petrol,Manual,6196,351000.0
Hyundai Grand i10,Hyundai,2015,60077,Diesel,Manual,11029,332000.0
Maruti Ertiga,Maruti,2017,68394,Diesel,Manual,15914,715000.0
Datsun Redi Go,Datsun,2017,50126,Petrol,Manual,3421,175000.0
Nissan MAGNITE,Nissan,2023,66088,Petrol,Manual,10150,575000.0
Maruti Swift,Maruti,2016,77854,Diesel,Manual,10823,411000.00000000006
Nissan MAGNITE,Nissan,2024,12406,Petrol,Manual,11492,651000.0
Maruti Baleno,Maruti,2021,44246,Petrol,Auto,10486,594000.0
KIA SONET,KIA,2021,47881,Petrol,Manual,11739,665000.0
Hyundai Grand i10,Hyundai,2014,71303,Petrol,Manual,9267,279000.0
Hyundai EXTER,Hyundai,2023,36887,Petrol,Auto,13257,751000.0
Tata NEXON,Tata,2018,78154,Diesel,Manual,11179,572000.0
Maruti Wagon R 1.0,Maruti,2012,63573,Petrol,Manual,15354,173000.0
Nissan Terrano,Nissan,2015,109754,Diesel,Manual,14415,434000.0
Hyundai Creta,Hyundai,2021,47970,Petrol,Auto,20547,1200000.0
Renault Kwid,Renault,2017,33884,Petrol,Auto,5181,265000.0
Hyundai i10,Hyundai,2012,63545,Petrol,Manual,16259,183000.0
Toyota Glanza,Toyota,2021,51329,Petrol,Manual,9722,551000.0
Maruti Baleno,Maruti,2020,62778,Petrol,Manual,8708,493000.0
Hyundai Creta,Hyundai,2019,61373,Petrol,Auto,14725,860000.0
Maruti Baleno,Maruti,2020,85909,Petrol,Auto,8932,505999.99999999994
Maruti Vitara Brezza,Maruti,2020,122979,Petrol,Manual,14170,637000.0
Maruti Baleno,Maruti,2018,66971,Petrol,Auto,7803,442000.0
Ford Figo Aspire,Ford,2021,32941,Petrol,Manual,8456,479000.0
Maruti Celerio X,Maruti,2018,61071,Petrol,Auto,6267,355000.0
Maruti Dzire,Maruti,2018,68893,Petrol,Manual,8385,475000.0
KIA SELTOS,KIA,2020,85243,Diesel,Manual,14109,824000.0
Maruti Baleno,Maruti,2018,39561,Petrol,Manual,8473,480000.0
Hyundai Xcent,Hyundai,2015,79588,Petrol,Manual,7531,286000.0
Datsun Redi Go,Datsun,2019,73399,Petrol,Auto,4028,227999.99999999997
Maruti Alto K10,Maruti,2017,34727,Petrol,Auto,5161,264000.0
Honda Brio,Honda,2014,90652,Petrol,Manual,7440,224000.00000000003
Renault Lodgy,Renault,2015,88555,Diesel,Manual,10924,329000.0
Maruti Celerio,Maruti,2016,71185,Petrol,Auto,7185,323000.0
Toyota URBAN CRUISER,Toyota,2020,145579,Petrol,Auto,14704,661000.0
Hyundai Elite i20,Hyundai,2017,131421,Diesel,Manual,9676,434999.99999999994
Honda WR-V,Honda,2017,100165,Petrol,Manual,9387,422000.0
Maruti Wagon R 1.0,Maruti,2017,41037,Petrol,Auto,6843,350000.0
Renault Kwid,Renault,2016,46215,Petrol,Manual,5380,242000.0
Hyundai Grand i10,Hyundai,2014,72604,Petrol,Manual,10396,313000.0
Maruti Swift,Maruti,2015,149908,Diesel,Manual,12721,383000.0
Hyundai Grand i10,Hyundai,2015,74441,Petrol,Auto,8672,329000.0
Hyundai NEW SANTRO,Hyundai,2020,34041,Petrol,Manual,6567,372000.0
Hyundai Creta,Hyundai,2019,53050,Diesel,Auto,14045,819999.9999999999
Maruti Dzire,Maruti,2019,46580,Petrol,Manual,8961,508000.0
Datsun Redi Go,Datsun,2018,103464,Petrol,Manual,4004,180000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,38711,Petrol,Manual,9268,525000.0
Hyundai i10,Hyundai,2015,82983,Petrol,Manual,6847,260000.0
Renault TRIBER,Renault,2022,29516,Petrol,Manual,9850,558000.0
Ford Ecosport,Ford,2016,125300,Diesel,Manual,11324,430000.0
Maruti Ciaz,Maruti,2019,67226,Petrol,Manual,10062,570000.0
Hyundai Grand i10,Hyundai,2018,67500,Petrol,Manual,7026,398000.0
Ford Ecosport,Ford,2016,78987,Diesel,Manual,12456,473000.00000000006
Maruti XL6,Maruti,2021,60390,Petrol,Auto,14143,826000.0
Maruti Swift Dzire,Maruti,2014,34273,Petrol,Manual,11725,353000.0
Hyundai Grand i10,Hyundai,2014,28456,Petrol,Manual,10031,302000.0
Maruti Swift,Maruti,2016,59872,Petrol,Manual,7763,349000.0
Hyundai Grand i10,Hyundai,2014,75204,Petrol,Manual,9931,299000.0
Honda City,Honda,2020,60811,Petrol,Auto,15410,900000.0
Maruti Baleno,Maruti,2017,75352,Petrol,Manual,8211,420000.0
Ford Ecosport,Ford,2016,95314,Diesel,Manual,12324,468000.0
Maruti Ciaz,Maruti,2016,118363,Diesel,Manual,12253,465000.00000000006
Honda Amaze,Honda,2023,16246,Petrol,Auto,12410,703000.0
Renault Kwid,Renault,2018,47441,Petrol,Auto,5228,296000.0
