car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Renault Kwid,Renault,2019,47225,Petrol,Manual,4297,243000.00000000003
Renault Kwid,Renault,2015,62290,Petrol,Manual,5377,204000.0
Maruti Alto 800,Maruti,2012,62499,Petrol,Manual,15311,172000.0
Ford Figo Aspire,Ford,2016,86726,Petrol,Manual,6391,287000.0
Maruti Baleno,Maruti,2017,53593,Petrol,Auto,9580,490000.00000000006
Hyundai Grand i10,Hyundai,2016,44448,Petrol,Manual,6678,300000.0
Maruti Baleno,Maruti,2020,95546,Petrol,Manual,9116,516000.0
Renault Duster,Renault,2013,81336,Diesel,Manual,24167,272000.0
Hyundai Eon,Hyundai,2015,66389,Petrol,Manual,2897,110000.00000000001
Maruti S PRESSO,Maruti,2021,57016,Petrol,Manual,4678,265000.0
Renault Kwid,Renault,2015,108555,Petrol,Manual,3008,113999.99999999999
Ford FREESTYLE,Ford,2019,39138,Petrol,Manual,6090,345000.0
Maruti Swift Dzire,Maruti,2013,68996,Petrol,Manual,13981,297000.0
Tata ALTROZ,Tata,2020,72750,Petrol,Manual,6802,385000.0
Maruti Alto 800,Maruti,2015,49127,Petrol,Manual,4845,184000.0
Renault Kwid,Renault,2016,67389,Petrol,Manual,3337,150000.0
Maruti Alto 800,Maruti,2013,39801,Petrol,Manual,8181,174000.0
Volkswagen Polo,Volkswagen,2012,128734,Diesel,Manual,8181,191000.0
MG HECTOR,MG,2021,90805,Diesel,Manual,16814,982000.0
Hyundai Eon,Hyundai,2018,53338,Petrol,Manual,3319,188000.0
Renault Duster,Renault,2021,91138,Petrol,Manual,10874,616000.0
Datsun Redi Go,Datsun,2018,85983,Petrol,Manual,2630,149000.0
Tata Tiago,Tata,2023,8625,Petrol,Manual,7026,398000.0
Maruti Alto K10,Maruti,2022,51407,CNG,Manual,5349,303000.0
Nissan Kicks,Nissan,2020,38663,Petrol,Manual,12586,713000.0
Ford Ecosport,Ford,2014,106662,Petrol,Manual,10463,315000.0
Maruti Swift,Maruti,2012,85824,Diesel,Manual,10463,225000.0
Hyundai Eon,Hyundai,2014,25483,Petrol,Manual,4285,129000.0
Datsun Go,Datsun,2014,61499,Petrol,Manual,3222,97000.0
Honda Jazz,Honda,2018,64930,Petrol,Auto,8632,488999.99999999994
Ford Ecosport,Ford,2016,149073,Petrol,Manual,7341,330000.0
Maruti Celerio,Maruti,2018,39143,Petrol,Auto,6708,380000.0
Nissan Sunny,Nissan,2013,30075,Petrol,Manual,8111,172000.0
Hyundai Eon,Hyundai,2016,36637,Petrol,Manual,3937,177000.0
Datsun Redi Go,Datsun,2016,63052,Petrol,Manual,2798,126000.0
Tata Tiago,Tata,2018,30617,Petrol,Manual,5673,321000.0
Hyundai Elite i20,Hyundai,2016,52716,Petrol,Manual,8682,390000.0
Volkswagen TAIGUN,Volkswagen,2021,91699,Petrol,Manual,15188,886999.9999999999
Renault Kwid,Renault,2016,52041,Petrol,Manual,3515,158000.0
Tata NEXON,Tata,2021,43360,Petrol,Manual,8985,509000.0
Hyundai AURA,Hyundai,2022,121535,CNG,Manual,10344,465000.00000000006
Maruti Swift,Maruti,2017,67049,Petrol,Manual,7370,377000.0
Ford Ecosport,Ford,2016,124250,Petrol,Manual,8364,376000.0
Datsun Redi Go,Datsun,2019,64501,Petrol,Manual,2207,125000.0
Maruti Swift,Maruti,2013,79274,Petrol,Manual,13934,296000.0
Renault Kwid,Renault,2019,74559,Petrol,Manual,3160,179000.0
Renault Kwid,Renault,2017,31419,Petrol,Auto,4179,214000.0
Hyundai Eon,Hyundai,2014,74909,Petrol,Manual,4750,143000.0
Hyundai VENUE,Hyundai,2019,63145,Petrol,Manual,10397,589000.0
Hyundai i10,Hyundai,2013,69998,Petrol,Manual,7767,165000.0
Renault Kwid,Renault,2017,117607,Petrol,Manual,3114,140000.0
Tata TIGOR,Tata,2022,84798,CNG,Manual,7944,450000.0
Honda Amaze,Honda,2015,55169,Petrol,Manual,7189,273000.0
Hyundai Grand i10,Hyundai,2017,98374,Petrol,Auto,6217,318000.0
Nissan Kicks,Nissan,2020,48574,Petrol,Manual,11625,659000.0
Renault Kwid,Renault,2020,56092,Petrol,Manual,5208,295000.0
Tata Tiago,Tata,2019,56667,Petrol,Manual,6758,383000.0
Mahindra KUV 100 NXT,Mahindra,2017,40726,Petrol,Manual,5572,285000.0
Renault Kwid,Renault,2016,91411,Petrol,Manual,3426,154000.0
Tata Tiago,Tata,2023,29883,Petrol,Manual,8050,455999.99999999994
MG HECTOR PLUS,MG,2020,40546,Petrol,Auto,17277,1009000.0
Renault Kwid,Renault,2018,61303,Petrol,Manual,4696,266000.0
Maruti Alto K10,Maruti,2016,72853,Petrol,Auto,5917,266000.0
Maruti Dzire,Maruti,2018,47350,Petrol,Auto,8897,504000.0
Maruti Wagon R 1.0,Maruti,2016,56463,Petrol,Auto,8245,371000.0
Datsun Redi Go,Datsun,2017,63316,Petrol,Manual,2704,138000.0
Maruti Celerio,Maruti,2015,54933,Petrol,Auto,7734,294000.0
Honda Jazz,Honda,2017,116273,Petrol,Manual,7830,352000.0
Mahindra KUV 100 NXT,Mahindra,2018,17136,CNG,Manual,6696,301000.0
Hyundai Creta,Hyundai,2017,125870,Petrol,Manual,12457,560000.0
Tata Tiago,Tata,2016,52175,CNG,Manual,9931,299000.0
Hyundai Verna,Hyundai,2016,98255,Petrol,Manual,10499,472000.0
Maruti Celerio,Maruti,2016,60116,Petrol,Manual,6451,290000.0
Honda City,Honda,2016,78233,Petrol,Manual,10210,459000.0
Hyundai Creta,Hyundai,2017,40310,Petrol,Manual,12610,645000.0
Maruti Alto,Maruti,2019,69596,Petrol,Manual,4784,271000.0
Renault Kwid,Renault,2016,32225,Petrol,Manual,4894,220000.00000000003
Hyundai Grand i10,Hyundai,2016,80233,Petrol,Manual,6206,279000.0
Honda Amaze,Honda,2015,45099,Petrol,Manual,8822,335000.0
Renault Kwid,Renault,2018,40536,Petrol,Manual,4501,254999.99999999997
Ford FREESTYLE,Ford,2019,92867,Petrol,Manual,6902,391000.0
Maruti Alto 800,Maruti,2018,47656,Petrol,Manual,4565,259000.0
Hyundai Elite i20,Hyundai,2015,68266,Petrol,Manual,10861,412000.0
Hyundai Verna,Hyundai,2020,82278,Petrol,Auto,13869,810000.0
Hyundai Grand i10,Hyundai,2013,28268,Petrol,Manual,12242,260000.0
Ford FREESTYLE,Ford,2019,134993,Diesel,Manual,9788,440000.00000000006
Hyundai Xcent,Hyundai,2015,66939,Petrol,Manual,7612,289000.0
Honda Jazz,Honda,2017,124203,Petrol,Manual,9276,417000.0
Hyundai NEW SANTRO,Hyundai,2018,94399,Petrol,Manual,4855,275000.0
Datsun Redi Go,Datsun,2019,15962,Petrol,Auto,3760,213000.0
Nissan Micra Active,Nissan,2013,136687,Petrol,Manual,7532,160000.0
Hyundai i20,Hyundai,2012,44196,Diesel,Manual,7532,299000.0
Hyundai Creta,Hyundai,2016,92737,Petrol,Auto,13887,624000.0
Hyundai i20,Hyundai,2012,99234,Petrol,Auto,26299,296000.0
Hyundai Grand i10,Hyundai,2013,75139,Petrol,Manual,12192,259000.0
Honda Amaze,Honda,2016,63272,Petrol,Manual,7852,353000.0
Hyundai Xcent,Hyundai,2014,94095,Petrol,Manual,7573,227999.99999999997
Maruti Swift,Maruti,2015,119459,Petrol,Manual,10507,399000.0
Hyundai Elite i20,Hyundai,2015,102603,Diesel,Manual,15279,459999.99999999994
Honda City,Honda,2016,142290,Petrol,Auto,11148,501000.0
Renault Duster,Renault,2014,76863,Diesel,Manual,17935,381000.0
