car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Volkswagen TAIGUN,Volkswagen,2021,39135,Petrol,Auto,20975,1225000.0
Renault TRIBER,Renault,2021,61752,Petrol,Auto,6284,356000.0
Mercedes Benz CLS Class,Mercedes,2015,31794,Diesel,Auto,83484,2550000.0
Ford Ecosport,Ford,2015,115854,Diesel,Manual,13226,398000.0
Hyundai Grand i10,Hyundai,2015,65739,Petrol,Manual,7898,300000.0
Honda City,Honda,2017,42504,Petrol,Manual,9164,469000.00000000006
Tata ALTROZ,Tata,2021,23470,Petrol,Manual,9753,552000.0
Maruti Dzire,Maruti,2017,106513,CNG,Auto,11931,453000.0
Maruti New Wagon-R,Maruti,2020,55390,CNG,Manual,7372,418000.0
Jaguar XF,Jaguar,2015,36442,Petrol,Auto,34245,1325000.0
Honda City,Honda,2015,74976,CNG,Auto,22204,472000.0
Maruti Ertiga,Maruti,2021,137334,Petrol,Auto,17873,822000.0000000001
Nissan Micra,Nissan,2019,103683,Petrol,Auto,5606,252000.0
Hyundai Eon,Hyundai,2014,27630,Petrol,Manual,5314,160000.0
Maruti Swift,Maruti,2020,24651,Petrol,Auto,9125,517000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,19605,Petrol,Auto,10105,572000.0
Honda Amaze,Honda,2013,98015,Petrol,Auto,10827,229999.99999999997
Maruti Ertiga,Maruti,2022,15361,Petrol,Manual,16523,965000.0
Volkswagen TAIGUN,Volkswagen,2022,38709,Petrol,Auto,17550,1025000.0
Maruti Swift,Maruti,2018,59726,Petrol,Auto,7078,401000.0
Hyundai Grand i10,Hyundai,2014,49805,Petrol,Manual,9255,279000.0
Landrover DISCOVERY SPORT,Landrover,2020,49183,Diesel,Auto,68062,3975000.0
Honda City,Honda,2017,60476,Petrol,Auto,10083,516000.0
Hyundai i20,Hyundai,2013,98565,Petrol,Manual,10121,215000.0
Maruti XL6,Maruti,2022,26398,Petrol,Auto,17979,1050000.0
Renault Kwid,Renault,2018,99104,Petrol,Manual,3146,178000.0
Toyota Innova Crysta,Toyota,2022,68122,Diesel,Manual,34074,1989999.9999999998
Datsun Redi Go,Datsun,2018,53059,Petrol,Manual,2499,142000.0
Tata Tiago,Tata,2016,74675,Petrol,Manual,6730,303000.0
Jeep Compass,Jeep,2018,40683,Petrol,Manual,10680,605000.0
Maruti Ciaz,Maruti,2018,88214,Diesel,Manual,11861,607000.0
Hyundai Creta,Hyundai,2019,46498,Petrol,Auto,16266,950000.0
Volkswagen Ameo,Volkswagen,2019,39830,Diesel,Auto,9884,560000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,49692,CNG,Manual,9853,558000.0
Hyundai Verna,Hyundai,2018,69617,Petrol,Auto,10486,594000.0
Tata PUNCH,Tata,2021,65734,Petrol,Manual,8967,508000.0
Toyota Corolla Altis,Toyota,2014,103843,Petrol,Manual,14436,434999.99999999994
Honda City,Honda,2015,94742,Petrol,Manual,9187,349000.0
Hyundai Creta,Hyundai,2017,117634,CNG,Auto,14789,562000.0
Toyota Fortuner,Toyota,2021,58417,Diesel,Auto,64894,3790000.0
Hyundai i10,Hyundai,2012,62494,Petrol,Manual,14571,164000.0
Maruti Swift Dzire,Maruti,2016,36676,Petrol,Manual,6493,292000.0
Renault Kwid,Renault,2016,62857,Petrol,Manual,4007,180000.0
KIA SELTOS,KIA,2019,50671,Petrol,Manual,16932,989000.0
Honda City,Honda,2015,43550,Petrol,Manual,9485,360000.0
Maruti Alto K10,Maruti,2016,27630,CNG,Manual,6371,192000.0
KIA SONET,KIA,2020,34389,Diesel,Manual,16266,950000.0
Tata TIGOR,Tata,2019,106899,Petrol,Auto,7185,323000.0
Honda City,Honda,2014,51383,Petrol,Manual,9626,290000.0
Mahindra XUV300,Mahindra,2020,103497,Petrol,Manual,11389,512000.0
