car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Alto 800,Maruti,2016,42927,Petrol,Manual,4849,218000.00000000003
Maruti Wagon R 1.0,Maruti,2016,86530,Petrol,Manual,5583,250999.99999999997
Maruti Swift Dzire,Maruti,2016,136220,Petrol,Manual,7563,340000.0
Hyundai Elite i20,Hyundai,2015,113326,Diesel,Manual,12655,381000.0
Nissan Micra Active,Nissan,2016,67823,Petrol,Manual,5205,234000.0
Tata Tiago,Tata,2022,71291,Petrol,Manual,9603,544000.0
Maruti XL6,Maruti,2022,56730,Petrol,Auto,19280,1126000.0
Hyundai Grand i10,Hyundai,2014,56673,Petrol,Auto,9798,295000.0
Honda City,Honda,2015,156844,Diesel,Manual,13319,401000.0
Honda Amaze,Honda,2017,128366,Diesel,Manual,6562,295000.0
Maruti IGNIS,Maruti,2019,38836,Petrol,Manual,6426,364000.0
Volkswagen Vento,Volkswagen,2012,137850,Diesel,Manual,6426,211000.0
Hyundai i20,Hyundai,2013,71497,Petrol,Manual,10356,220000.00000000003
Maruti Wagon R 1.0,Maruti,2017,68458,Petrol,Manual,5172,233000.0
Hyundai Elite i20,Hyundai,2014,71885,Diesel,Manual,16476,350000.0
Jeep Compass,Jeep,2017,98643,Diesel,Manual,20460,941000.0
Chevrolet Sail,Chevrolet,2015,68663,Diesel,Manual,6809,204999.99999999997
Mahindra BOLERO NEO,Mahindra,2023,113116,Diesel,Manual,16683,750000.0
Maruti Wagon R 1.0,Maruti,2013,108873,Petrol,Manual,9226,196000.0
Renault Kwid,Renault,2017,90151,Petrol,Manual,4712,241000.0
Ford Figo,Ford,2012,107175,Diesel,Manual,4712,113999.99999999999
Hyundai i20,Hyundai,2010,151672,Diesel,Manual,4712,144000.0
Chevrolet Cruze,Chevrolet,2012,100296,Diesel,Auto,4712,206000.0
Ford Figo,Ford,2012,119269,Diesel,Manual,4712,125000.0
Datsun Go,Datsun,2014,82422,Petrol,Manual,3919,118000.0
Hyundai Verna,Hyundai,2013,132800,Diesel,Manual,24256,273000.0
Maruti Swift,Maruti,2017,100174,Diesel,Manual,10232,459999.99999999994
Mahindra Kuv100,Mahindra,2016,83488,Diesel,Manual,5925,225000.0
Hyundai Verna,Hyundai,2015,98469,Petrol,Auto,8796,334000.0
Datsun Go Plus,Datsun,2015,48028,Petrol,Manual,4371,166000.0
Maruti Wagon R 1.0,Maruti,2014,88368,Petrol,Manual,7307,220000.00000000003
Maruti Alto 800,Maruti,2016,89864,Petrol,Manual,4071,183000.0
Hyundai ALCAZAR,Hyundai,2022,66316,Diesel,Auto,28457,1662000.0
Ford New Figo,Ford,2015,156643,Diesel,Manual,7573,227999.99999999997
Mahindra XUV500,Mahindra,2012,113742,Diesel,Manual,7573,305000.0
Chevrolet Beat,Chevrolet,2016,93758,Diesel,Manual,4477,170000.0
Volkswagen Polo,Volkswagen,2011,82270,Diesel,Manual,4477,147000.0
Skoda Superb,Skoda,2017,142683,Diesel,Auto,29831,1372000.0
Mahindra Verito,Mahindra,2012,132882,Diesel,Manual,29831,134000.0
Maruti Alto K10,Maruti,2011,36729,Petrol,Manual,29831,118000.0
Hyundai Verna,Hyundai,2014,119335,Petrol,Manual,11060,333000.0
Volkswagen Polo,Volkswagen,2016,89977,Petrol,Manual,8008,360000.0
Maruti Swift Dzire,Maruti,2012,145766,Diesel,Manual,8008,320000.0
Maruti Swift Dzire,Maruti,2013,129221,Diesel,Manual,34029,383000.0
Maruti Swift,Maruti,2011,220272,Diesel,Manual,34029,200000.0
Maruti Ertiga,Maruti,2014,162250,Petrol,Manual,12920,389000.0
Hyundai i10,Hyundai,2011,7201,Petrol,Manual,12920,184000.0
Tata Manza,Tata,2011,149542,Diesel,Manual,12920,127000.0
Mahindra XUV500,Mahindra,2017,92511,Diesel,Manual,9966,448000.00000000006
Maruti Zen Estilo,Maruti,2012,58061,Petrol,Manual,12705,143000.0
Tata TIGOR,Tata,2022,70267,Petrol,Manual,9250,524000.0
Maruti Swift,Maruti,2019,74223,Petrol,Auto,9003,509999.99999999994
Maruti Wagon R 1.0,Maruti,2014,77272,Petrol,Manual,7174,216000.0
Maruti S PRESSO,Maruti,2024,18150,Petrol,Auto,9003,509999.99999999994
Tata Zest,Tata,2015,117858,Diesel,Auto,8237,248000.0
Renault Kwid,Renault,2020,58382,Petrol,Manual,5278,299000.0
Hyundai i10,Hyundai,2013,100238,Petrol,Manual,8567,182000.0
Tata NEXON,Tata,2020,63315,Petrol,Manual,12357,700000.0
Ford Ecosport,Ford,2014,130360,Diesel,Manual,14781,314000.0
Tata PUNCH,Tata,2023,29641,Petrol,Auto,13769,780000.0
Volkswagen Jetta,Volkswagen,2015,89946,Petrol,Manual,8927,339000.0
Renault Kwid,Renault,2020,7206,Petrol,Manual,6284,356000.0
Mahindra Kuv100,Mahindra,2017,204010,Diesel,Manual,6940,312000.0
Honda City,Honda,2014,147553,Diesel,Manual,18829,400000.0
Maruti Baleno,Maruti,2019,60492,Diesel,Manual,9568,542000.0
Tata TIGOR,Tata,2017,129740,Petrol,Manual,7786,350000.0
Tata Tiago,Tata,2020,139697,Petrol,Manual,10188,458000.0
Maruti Swift Dzire,Maruti,2011,100927,Diesel,Manual,10188,202999.99999999997
Maruti Eeco,Maruti,2022,56392,Petrol,Manual,10486,594000.0
Honda Amaze,Honda,2014,102875,Diesel,Manual,15016,319000.0
Hyundai i10,Hyundai,2016,48740,Petrol,Manual,6673,300000.0
Maruti Ciaz,Maruti,2015,92292,Diesel,Manual,15943,480000.0
Honda City,Honda,2017,67729,Petrol,Auto,10459,535000.0
Maruti Swift,Maruti,2011,116318,Diesel,Manual,10459,175000.0
Maruti Swift Dzire,Maruti,2011,101539,Diesel,Manual,10459,220000.00000000003
BMW X1,BMW,2013,174751,Diesel,Auto,44602,501999.99999999994
Maruti Ertiga,Maruti,2020,70269,Petrol,Manual,15119,883000.0
Tata Tiago,Tata,2022,73817,Petrol,Manual,10345,586000.0
Volkswagen Polo,Volkswagen,2020,62975,Petrol,Manual,7944,450000.0
Honda Amaze,Honda,2016,123065,Diesel,Manual,7979,303000.0
Maruti Grand Vitara,Maruti,2024,40044,Petrol,Manual,17088,998000.0
Tata TIGOR,Tata,2022,39906,Petrol,Manual,11298,640000.0
Hyundai Grand i10,Hyundai,2015,50859,Petrol,Manual,8348,317000.0
Maruti Ertiga,Maruti,2015,150671,Diesel,Manual,19264,580000.0
Mahindra XUV500,Mahindra,2015,335111,Diesel,Manual,16541,498000.00000000006
Maruti Dzire,Maruti,2020,94983,Petrol,Auto,10397,589000.0
Toyota Glanza,Toyota,2022,80000,Petrol,Manual,10945,620000.0
Hyundai i20,Hyundai,2011,131370,Diesel,Manual,10945,208000.0
Hyundai NEW I20,Hyundai,2022,14024,Petrol,Manual,12304,697000.0
Honda WR-V,Honda,2017,50021,Petrol,Manual,11026,564000.0
