car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Celerio,Maruti,2016,92909,Petrol,Auto,7069,318000.0
Mahindra XUV700,Mahindra,2024,33869,Diesel,Auto,34245,2000000.0
Maruti Grand Vitara,Maruti,2022,31545,Petrol,Auto,22687,1325000.0
Volkswagen Vento,Volkswagen,2019,55922,Petrol,Auto,12002,680000.0
Hyundai i10,Hyundai,2013,27481,Petrol,Manual,10901,231999.99999999997
Honda Amaze,Honda,2015,51423,Petrol,Manual,8690,330000.0
Maruti Alto K10,Maruti,2016,73671,Petrol,Auto,5976,269000.0
Maruti Wagon R 1.0,Maruti,2013,37495,Petrol,Manual,10712,227999.99999999997
Maruti Swift,Maruti,2015,112676,Petrol,Manual,10077,383000.0
Maruti Celerio,Maruti,2022,84281,CNG,Manual,7873,446000.0
Renault Kwid,Renault,2019,60949,Petrol,Manual,5750,326000.0
Tata NEXON,Tata,2023,24857,Petrol,Manual,14143,826000.0
Maruti New Wagon-R,Maruti,2021,63246,CNG,Manual,8122,459999.99999999994
Hyundai NEW SANTRO,Hyundai,2020,80349,CNG,Manual,6411,363000.0
Mahindra XUV700,Mahindra,2022,17184,Petrol,Auto,29964,1750000.0
Jaguar XF,Jaguar,2015,48465,Diesel,Auto,45638,1394000.0
Hyundai Grand i10,Hyundai,2019,9788,Petrol,Manual,8372,474000.0
Toyota YARIS,Toyota,2021,39201,Petrol,Manual,10433,591000.0
Hyundai Grand i10,Hyundai,2016,80145,CNG,Manual,11709,353000.0
Hyundai Grand i10,Hyundai,2017,70307,Petrol,Manual,7075,362000.0
Hyundai Elite i20,Hyundai,2017,81590,Petrol,Manual,8446,432000.0
Mercedes Benz E Class,Mercedes,2013,40546,Petrol,Auto,51269,1100000.0
Hyundai Grand i10,Hyundai,2019,71622,Petrol,Manual,6567,372000.0
Honda City,Honda,2017,55777,Petrol,Manual,10164,520000.0
Hyundai Elite i20,Hyundai,2019,46282,Petrol,Manual,8562,484999.99999999994
Maruti Alto 800,Maruti,2016,84210,Petrol,Manual,4182,188000.0
Tata Safari,Tata,2022,19584,Diesel,Auto,23954,1399000.0
Hyundai Elite i20,Hyundai,2016,64082,Petrol,Manual,6985,314000.0
Maruti Vitara Brezza,Maruti,2021,85455,Petrol,Manual,11922,675000.0
Honda BR-V,Honda,2017,30564,Petrol,Auto,12190,624000.0
Hyundai Elite i20,Hyundai,2019,67495,Petrol,Manual,7026,398000.0
Honda Jazz,Honda,2015,57633,Petrol,Manual,9758,371000.0
