car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Eon,Hyundai,2015,84569,Petrol,Manual,3318,126000.0
Honda City,Honda,2014,118794,Diesel,Manual,9980,212000.0
Honda Amaze,Honda,2013,166700,Diesel,Manual,13949,157000.0
Maruti Swift,Maruti,2023,35442,Petrol,Manual,9550,541000.0
Hyundai Grand i10,Hyundai,2018,106672,Petrol,Manual,7185,323000.0
Maruti Baleno,Maruti,2019,170842,Petrol,Manual,9254,416000.0
Hyundai Elite i20,Hyundai,2018,108000,Petrol,Manual,7029,316000.0
Maruti Wagon R 1.0,Maruti,2011,159417,Petrol,Manual,7029,114999.99999999999
Maruti Eeco,Maruti,2015,192643,Petrol,Manual,1606,61000.0
Tata Tiago,Tata,2021,46278,Petrol,Manual,7185,407000.0
Mahindra XUV500,Mahindra,2015,141110,Diesel,Manual,12123,365000.0
Hyundai Verna,Hyundai,2018,90977,Diesel,Manual,9931,508000.0
Hyundai i20,Hyundai,2011,80250,Petrol,Manual,9931,65000.0
Maruti Eeco,Maruti,2017,164062,Petrol,Manual,6584,296000.0
Mahindra XUV300,Mahindra,2023,23828,Petrol,Manual,11827,670000.0
Hyundai Creta,Hyundai,2017,100655,Diesel,Auto,11856,533000.0
Maruti Baleno,Maruti,2024,51814,Petrol,Manual,12551,711000.0
Hyundai Elite i20,Hyundai,2015,128568,Diesel,Manual,10861,327000.0
Renault Kwid,Renault,2016,87379,Petrol,Auto,3648,164000.0
Hyundai Verna,Hyundai,2012,123236,Diesel,Manual,3648,145000.0
Maruti Swift,Maruti,2012,130171,Diesel,Manual,3648,206000.0
Honda Amaze,Honda,2023,29803,Petrol,Manual,9815,556000.0
Tata ALTROZ,Tata,2024,36234,Petrol,Manual,13784,805000.0000000001
Hyundai Verna,Hyundai,2018,42329,Petrol,Auto,11404,646000.0
Nissan Sunny,Nissan,2013,141301,Diesel,Manual,8796,99000.0
Volkswagen Polo,Volkswagen,2014,120073,Diesel,Manual,10215,217000.0
Hyundai Eon,Hyundai,2014,218830,Petrol,Manual,3919,118000.0
Hyundai Elite i20,Hyundai,2015,103669,Diesel,Manual,10363,312000.0
Honda Brio,Honda,2013,106637,Petrol,Manual,8238,175000.0
Maruti Alto 800,Maruti,2013,85724,Petrol,Manual,7061,150000.0
Maruti Wagon R 1.0,Maruti,2011,47782,Petrol,Manual,7061,99000.0
Maruti Alto 800,Maruti,2014,76897,Petrol,Manual,6211,187000.0
Toyota Corolla Altis,Toyota,2014,104101,Diesel,Manual,20242,430000.0
Hyundai Grand i10,Hyundai,2015,95550,Diesel,Manual,6809,204999.99999999997
Honda Amaze,Honda,2017,124339,Petrol,Manual,4427,199000.0
KIA CARENS,KIA,2024,5031,Petrol,Manual,16814,982000.0
Hyundai i20,Hyundai,2012,163004,Diesel,Manual,16814,135000.0
Tata PUNCH,Tata,2022,46304,Petrol,Manual,9162,519000.00000000006
Hyundai i10,Hyundai,2012,83778,Petrol,Manual,13594,153000.0
Mahindra XUV500,Mahindra,2012,181360,Diesel,Manual,13594,220000.00000000003
Maruti Wagon R 1.0,Maruti,2012,61032,Petrol,Manual,14038,158000.0
Maruti Alto 800,Maruti,2014,45887,Petrol,Manual,5646,170000.0
Maruti Vitara Brezza,Maruti,2018,57450,Diesel,Manual,10123,518000.0
Maruti Swift,Maruti,2021,80862,Petrol,Manual,7961,451000.0
Maruti Swift,Maruti,2013,123663,Diesel,Manual,19991,225000.0
Maruti Wagon R 1.0,Maruti,2012,132733,Petrol,Manual,13061,147000.0
Tata PUNCH,Tata,2022,66000,Petrol,Manual,9250,524000.0
Hyundai Grand i10,Hyundai,2015,100865,Petrol,Auto,7136,271000.0
Hyundai i20,Hyundai,2014,109379,Diesel,Manual,8897,189000.0
Maruti Alto 800,Maruti,2018,80001,Petrol,Manual,3192,181000.0
Hyundai Verna,Hyundai,2021,99049,Petrol,Manual,13469,763000.0
Tata Zest,Tata,2017,131029,Diesel,Manual,5583,250999.99999999997
Maruti Swift,Maruti,2013,125431,Diesel,Manual,25855,291000.0
Hyundai Eon,Hyundai,2013,110680,Petrol,Manual,4630,98000.0
Maruti Eeco,Maruti,2018,122235,Petrol,Manual,6384,287000.0
Maruti Wagon R 1.0,Maruti,2013,63386,Petrol,Manual,10827,229999.99999999997
Mahindra XUV500,Mahindra,2012,246518,Diesel,Manual,10827,234000.0
Hyundai i10,Hyundai,2012,122679,Petrol,Manual,12528,141000.0
Hyundai Xcent,Hyundai,2014,82764,Diesel,Manual,7955,169000.0
Hyundai Verna,Hyundai,2013,126433,Diesel,Auto,21324,240000.0
