car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Renault Duster,Renault,2018,87335,Diesel,Manual,7722,395000.0
Maruti Alto,Maruti,2020,49616,Petrol,Manual,4739,268000.0
Renault Kwid,Renault,2016,94221,Petrol,Auto,4226,190000.0
Maruti Eeco,Maruti,2016,66582,CNG,Manual,10606,319000.0
Maruti Alto 800,Maruti,2017,93121,CNG,Manual,5793,220000.00000000003
Tata PUNCH,Tata,2024,32527,CNG,Manual,13168,746000.0
Jeep Compass,Jeep,2019,67446,Diesel,Manual,12588,713000.0
Renault Kwid,Renault,2019,52407,Petrol,Manual,4587,260000.0
Tata Tiago,Tata,2021,29850,Petrol,Manual,6270,355000.0
Honda Amaze,Honda,2014,66772,Petrol,Manual,8802,265000.0
Mahindra XUV300,Mahindra,2021,75937,Diesel,Manual,13328,755000.0
Maruti Wagon R 1.0,Maruti,2018,48480,Petrol,Manual,4643,263000.0
Tata NEXON,Tata,2024,18392,Petrol,Auto,14682,857000.0
Renault Kwid,Renault,2018,65589,Petrol,Manual,3354,190000.0
Hyundai Eon,Hyundai,2016,71700,CNG,Manual,5494,165000.0
Hyundai Creta,Hyundai,2017,76961,Petrol,Manual,10843,555000.0
Maruti Wagon R Stingray,Maruti,2013,21288,Petrol,Manual,8911,189000.0
Maruti IGNIS,Maruti,2024,34895,CNG,Manual,8473,480000.0
Skoda KUSHAQ,Skoda,2021,59379,Petrol,Manual,10327,585000.0
Maruti Alto 800,Maruti,2017,45083,Petrol,Manual,3480,178000.0
Maruti Alto 800,Maruti,2019,95614,CNG,Manual,4459,227999.99999999997
Maruti Alto 800,Maruti,2014,83005,Petrol,Manual,4251,128000.0
Hyundai New Elantra,Hyundai,2012,87134,Diesel,Auto,4251,270000.0
MG HECTOR,MG,2020,60401,Diesel,Manual,16266,950000.0
Ford New Figo,Ford,2017,36596,Petrol,Manual,5470,280000.0
Honda City,Honda,2015,82525,Petrol,Manual,8826,335000.0
Hyundai AURA,Hyundai,2021,13221,Petrol,Manual,9268,525000.0
Hyundai Verna,Hyundai,2016,69543,Petrol,Auto,8564,385000.0
Hyundai Grand i10,Hyundai,2017,107596,CNG,Manual,7984,303000.0
Maruti Eeco,Maruti,2018,32318,Petrol,Manual,5773,327000.0
Maruti Swift Dzire,Maruti,2015,90585,Petrol,Manual,7827,297000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,54958,Petrol,Auto,8196,463999.99999999994
Mahindra XUV500,Mahindra,2020,30379,Diesel,Manual,13681,775000.0
Maruti Swift,Maruti,2021,34844,Petrol,Manual,9621,545000.0
Maruti Baleno,Maruti,2017,55054,Petrol,Manual,7331,375000.0
Maruti Ertiga,Maruti,2020,39265,Petrol,Manual,12337,699000.0
Hyundai Elite i20,Hyundai,2014,107792,Petrol,Manual,10467,315000.0
Hyundai Grand i10,Hyundai,2018,96033,Petrol,Manual,6116,346000.0
Hyundai Eon,Hyundai,2017,47628,Petrol,Manual,4692,240000.0
Skoda Octavia,Skoda,2019,55287,Petrol,Auto,15796,923000.0
Volkswagen Polo,Volkswagen,2016,129229,Petrol,Auto,8570,385000.0
Hyundai Elite i20,Hyundai,2019,54982,Petrol,Manual,8032,455000.0
Maruti Alto 800,Maruti,2017,82817,Petrol,Manual,3293,168000.0
Hyundai i10,Hyundai,2012,70879,Petrol,Manual,11819,133000.0
Hyundai i10,Hyundai,2013,83202,Petrol,Manual,8238,175000.0
Maruti BREZZA,Maruti,2023,29442,Petrol,Manual,14123,825000.0
Tata ALTROZ,Tata,2025,9104,Petrol,Manual,12092,685000.0
Maruti New Wagon-R,Maruti,2021,38943,Petrol,Manual,7238,409999.99999999994
Mahindra XUV500,Mahindra,2017,94939,Diesel,Manual,10846,488000.0
Hyundai Creta,Hyundai,2020,87080,Petrol,Manual,14383,840000.0
KIA SELTOS,KIA,2023,28939,Petrol,Manual,16438,960000.0
Hyundai Grand i10,Hyundai,2016,52121,Petrol,Auto,7118,320000.0
Honda WR-V,Honda,2020,86870,Diesel,Manual,9294,526000.0
Maruti Baleno,Maruti,2020,60541,CNG,Manual,8992,509000.0
Mahindra Thar,Mahindra,2021,63814,Diesel,Auto,16951,990000.0
Hyundai Eon,Hyundai,2017,132347,Petrol,Manual,3670,165000.0
Honda Amaze,Honda,2013,76793,Petrol,Manual,10356,220000.00000000003
Maruti Ciaz,Maruti,2017,139590,Diesel,Manual,8453,380000.0
Hyundai Creta,Hyundai,2019,76152,Petrol,Auto,13681,775000.0
Volkswagen TAIGUN,Volkswagen,2021,56630,Petrol,Manual,15239,890000.0
Maruti Alto,Maruti,2019,57853,Petrol,Manual,3967,225000.0
Tata TIGOR,Tata,2022,48761,Petrol,Auto,8650,490000.00000000006
Maruti Alto,Maruti,2019,97707,CNG,Manual,5001,256000.0
Maruti Eeco,Maruti,2018,84138,CNG,Manual,8328,374000.0
Tata NEXON,Tata,2021,87448,Petrol,Auto,11544,654000.0
