,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Alto 800,Maruti,2013,"59,183 km",Petrol,Manual,"EMI ₹8,084/m*",₹1.72 lakh
1,Tata TIGOR,Tata,2018,"60,000 km",Petrol,Manual,"EMI ₹5,737/m*",₹3.25 lakh
2,Hyundai Creta,Hyundai,2018,"77,164 km",Diesel,Manual,"EMI ₹12,871/m*",₹6.58 lakh
3,Mahindra Kuv100,Mahindra,2016,"92,583 km",Diesel,Manual,"EMI ₹6,683/m*",₹2.54 lakh
4,Mahindra Kuv100,Mahindra,2018,"44,360 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
5,Maruti Vitara Brezza,Maruti,2018,"92,123 km",Diesel,Manual,"EMI ₹11,364/m*",₹5.81 lakh
6,Renault Kwid,Renault,2016,"51,025 km",Petrol,Manual,"EMI ₹1,869/m*",₹0.84 lakh
7,Maruti Swift Dzire,Maruti,2014,"1,46,456 km",Diesel,Manual,"EMI ₹10,027/m*",₹2.13 lakh
8,Maruti Wagon R 1.0,Maruti,2015,"91,043 km",Petrol,Manual,"EMI ₹5,662/m*",₹2.15 lakh
9,Renault TRIBER,Renault,2021,"77,734 km",Petrol,Manual,"EMI ₹7,785/m*",₹4.41 lakh
10,Maruti Wagon R 1.0,Maruti,2017,"25,383 km",Petrol,Manual,"EMI ₹5,318/m*",₹2.72 lakh
11,Maruti Swift,Maruti,2015,"69,191 km",Petrol,Manual,"EMI ₹7,136/m*",₹2.71 lakh
12,Ford Ecosport,Ford,2018,"65,233 km",Petrol,Auto,"EMI ₹8,597/m*",₹4.87 lakh
13,Maruti Swift,Maruti,2019,"72,828 km",Petrol,Manual,"EMI ₹6,584/m*",₹3.73 lakh
14,Mahindra XUV300,Mahindra,2019,"1,11,654 km",Diesel,Manual,"EMI ₹12,234/m*",₹5.50 lakh
15,Ford Ecosport,Ford,2016,"62,580 km",Diesel,Manual,"EMI ₹7,531/m*",₹2.86 lakh
16,Maruti Dzire,Maruti,2020,"1,16,330 km",Petrol,Manual,"EMI ₹9,031/m*",₹4.06 lakh
17,Mahindra TUV300,Mahindra,2018,"1,20,160 km",Diesel,Manual,"EMI ₹7,207/m*",₹3.24 lakh
18,Maruti Vitara Brezza,Maruti,2016,"75,779 km",Diesel,Manual,"EMI ₹9,770/m*",₹3.71 lakh
19,Maruti Swift Dzire,Maruti,2013,"61,591 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
20,Renault Kwid,Renault,2018,"40,927 km",Petrol,Manual,"EMI ₹3,125/m*",₹1.77 lakh
21,Hyundai Verna,Hyundai,2012,"1,55,731 km",Diesel,Manual,"EMI ₹3,125/m*",₹1.83 lakh
22,Hyundai Elite i20,Hyundai,2019,"27,918 km",Petrol,Manual,"EMI ₹6,514/m*",₹3.69 lakh
23,Mahindra XUV500,Mahindra,2013,"73,010 km",Diesel,Manual,"EMI ₹20,169/m*",₹2.27 lakh
24,MG HECTOR,MG,2019,"39,851 km",Petrol,Auto,"EMI ₹13,823/m*",₹7.83 lakh
25,Datsun Go,Datsun,2015,"30,000 km",Petrol,Manual,"EMI ₹2,844/m*",₹1.08 lakh
26,Maruti Swift,Maruti,2013,"1,89,478 km",Diesel,Manual,"EMI ₹20,435/m*",₹2.30 lakh
27,Maruti Swift,Maruti,2012,"1,19,457 km",Diesel,Manual,"EMI ₹20,435/m*",₹1.94 lakh
28,Hyundai Verna,Hyundai,2013,"1,39,497 km",Diesel,Manual,"EMI ₹19,280/m*",₹2.17 lakh
29,Maruti Swift,Maruti,2012,"51,449 km",Diesel,Manual,"EMI ₹19,280/m*",₹1.96 lakh
30,Maruti Swift Dzire,Maruti,2014,"1,11,693 km",Diesel,Manual,"EMI ₹11,721/m*",₹2.49 lakh
31,Hyundai Verna,Hyundai,2017,"1,95,000 km",Diesel,Manual,"EMI ₹11,745/m*",₹5.28 lakh
32,Maruti Alto 800,Maruti,2018,"73,600 km",Petrol,Manual,"EMI ₹3,566/m*",₹2.02 lakh
