,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Hyundai ALCAZAR,Hyundai,2022,"26,698 km",Petrol,Manual,"EMI ₹19,348/m*",₹11.30 lakh
1,Ford Ecosport,Ford,2016,"84,622 km",Diesel,Manual,"EMI ₹9,356/m*",₹3.55 lakh
2,Maruti Swift,Maruti,2018,"37,239 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
3,Tata Indigo ECS,Tata,2015,"96,240 km",Diesel,Manual,"EMI ₹4,646/m*",₹1.40 lakh
4,Tata Tiago,Tata,2022,"14,740 km",Petrol,Manual,"EMI ₹8,297/m*",₹4.70 lakh
5,Maruti Swift Dzire,Maruti,2014,"89,040 km",Petrol,Manual,"EMI ₹6,975/m*",₹2.10 lakh
6,KIA SELTOS,KIA,2020,"91,899 km",Petrol,Auto,"EMI ₹16,009/m*",₹9.35 lakh
7,Maruti New Wagon-R,Maruti,2021,"80,358 km",Petrol,Manual,"EMI ₹5,155/m*",₹2.92 lakh
8,Honda Amaze,Honda,2014,"58,085 km",Petrol,Manual,"EMI ₹8,380/m*",₹2.52 lakh
9,Maruti Alto K10,Maruti,2018,"36,954 km",Petrol,Manual,"EMI ₹4,660/m*",₹2.64 lakh
10,Hyundai Elite i20,Hyundai,2017,"57,569 km",Petrol,Manual,"EMI ₹8,580/m*",₹4.39 lakh
11,Hyundai i10,Hyundai,2016,"63,095 km",Petrol,Manual,"EMI ₹4,293/m*",₹1.93 lakh
12,Maruti Swift Dzire,Maruti,2016,"81,807 km",Petrol,Manual,"EMI ₹7,051/m*",₹3.17 lakh
13,Maruti Swift,Maruti,2017,"41,239 km",Petrol,Manual,"EMI ₹7,035/m*",₹3.60 lakh
14,Tata Tiago,Tata,2017,"55,831 km",Petrol,Manual,"EMI ₹5,103/m*",₹2.61 lakh
15,Maruti S Cross,Maruti,2015,"91,451 km",Diesel,Manual,"EMI ₹9,732/m*",₹2.93 lakh
16,Mahindra XUV300,Mahindra,2021,"94,572 km",Diesel,Auto,"EMI ₹9,868/m*",₹5.59 lakh
17,Tata NEXON,Tata,2018,"70,648 km",Diesel,Manual,"EMI ₹7,214/m*",₹3.69 lakh
18,Honda City,Honda,2019,"81,563 km",Petrol,Manual,"EMI ₹9,850/m*",₹5.58 lakh
19,Maruti Swift Dzire,Maruti,2017,"79,717 km",Diesel,Manual,"EMI ₹7,541/m*",₹3.39 lakh
20,Maruti Swift Dzire,Maruti,2012,"1,50,306 km",Diesel,Manual,"EMI ₹7,541/m*",₹1.06 lakh
21,Mahindra XUV500,Mahindra,2014,"1,07,148 km",Diesel,Manual,"EMI ₹16,476/m*",₹3.50 lakh
22,Hyundai GRAND I10 NIOS,Hyundai,2021,"20,216 km",Petrol,Manual,"EMI ₹6,549/m*",₹3.71 lakh
23,Hyundai Verna,Hyundai,2015,"87,605 km",Petrol,Auto,"EMI ₹6,583/m*",₹2.50 lakh
24,Maruti BREZZA,Maruti,2022,"56,562 km",Petrol,Manual,"EMI ₹10,569/m*",₹5.99 lakh
25,Honda Amaze,Honda,2019,"55,434 km",Petrol,Manual,"EMI ₹7,326/m*",₹4.15 lakh
26,Hyundai Elite i20,Hyundai,2017,"64,792 km",Petrol,Manual,"EMI ₹8,817/m*",₹4.51 lakh
27,Volkswagen Polo,Volkswagen,2016,"76,500 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
28,Honda Amaze,Honda,2013,"1,74,505 km",Petrol,Manual,"EMI ₹11,015/m*",₹2.34 lakh
29,Maruti Baleno,Maruti,2016,"1,03,008 km",Petrol,Manual,"EMI ₹6,206/m*",₹2.79 lakh
30,Maruti Wagon R 1.0,Maruti,2016,"95,775 km",Petrol,Manual,"EMI ₹4,449/m*",₹2.00 lakh
31,Hyundai i10,Hyundai,2012,"63,888 km",Petrol,Manual,"EMI ₹11,550/m*",₹1.30 lakh
32,Honda City,Honda,2014,"1,28,312 km",Diesel,Manual,"EMI ₹10,450/m*",₹2.22 lakh
33,Hyundai Verna,Hyundai,2013,"1,36,906 km",Diesel,Manual,"EMI ₹17,770/m*",₹2.00 lakh
34,Maruti Alto 800,Maruti,2013,"65,814 km",Petrol,Manual,"EMI ₹7,155/m*",₹1.52 lakh
35,Hyundai Xcent,Hyundai,2015,"33,440 km",Petrol,Manual,"EMI ₹5,925/m*",₹2.25 lakh
36,KIA SELTOS,KIA,2023,"33,383 km",Diesel,Manual,"EMI ₹16,369/m*",₹9.56 lakh
37,Tata Tiago,Tata,2018,"1,60,805 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
38,Volkswagen Polo,Volkswagen,2011,"62,000 km",Petrol,Manual,"EMI ₹6,673/m*",₹1.45 lakh
39,Maruti Celerio,Maruti,2015,"1,66,314 km",Petrol,Manual,"EMI ₹5,267/m*",₹2.00 lakh
40,Hyundai Verna,Hyundai,2011,"1,11,820 km",Diesel,Manual,"EMI ₹5,267/m*",₹1.14 lakh
41,Hyundai Verna,Hyundai,2013,"1,57,439 km",Diesel,Manual,"EMI ₹23,811/m*",₹2.68 lakh
42,Maruti Ciaz,Maruti,2015,"1,04,530 km",Petrol,Manual,"EMI ₹8,400/m*",₹3.19 lakh
43,Maruti Grand Vitara,Maruti,2024,"40,592 km",Petrol,Manual,"EMI ₹15,256/m*",₹8.91 lakh
44,Ford Ecosport,Ford,2014,"1,06,815 km",Petrol,Manual,"EMI ₹8,104/m*",₹2.44 lakh
45,Maruti Alto K10,Maruti,2013,"1,10,187 km",Petrol,Manual,"EMI ₹9,132/m*",₹1.94 lakh
46,Maruti Baleno,Maruti,2016,"1,28,629 km",Petrol,Manual,"EMI ₹6,896/m*",₹3.10 lakh
47,Hyundai VENUE,Hyundai,2023,"66,731 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
48,Maruti Swift Dzire,Maruti,2013,"1,56,358 km",Diesel,Manual,"EMI ₹25,766/m*",₹2.90 lakh
49,Mahindra Kuv100,Mahindra,2016,"85,512 km",Diesel,Manual,"EMI ₹7,163/m*",₹2.72 lakh
50,Honda Amaze,Honda,2014,"1,16,670 km",Diesel,Manual,"EMI ₹10,639/m*",₹2.26 lakh
51,Maruti Ertiga,Maruti,2017,"2,30,832 km",Diesel,Manual,"EMI ₹13,569/m*",₹6.10 lakh
52,Ford Ecosport,Ford,2014,"1,10,899 km",Diesel,Manual,"EMI ₹10,592/m*",₹2.25 lakh
53,Renault Kwid,Renault,2020,"22,100 km",Petrol,Auto,"EMI ₹5,119/m*",₹2.90 lakh
54,Renault Kwid,Renault,2018,"61,881 km",Petrol,Manual,"EMI ₹3,389/m*",₹1.92 lakh
55,Hyundai Verna,Hyundai,2021,"1,28,154 km",Diesel,Manual,"EMI ₹18,546/m*",₹8.53 lakh
56,Hyundai Verna,Hyundai,2013,"1,28,893 km",Diesel,Manual,"EMI ₹26,122/m*",₹2.94 lakh
57,Tata Harrier,Tata,2022,"1,84,720 km",Diesel,Auto,"EMI ₹31,244/m*",₹14.37 lakh
58,Maruti Swift Dzire,Maruti,2014,"1,88,178 km",Diesel,Manual,"EMI ₹13,416/m*",₹2.85 lakh
59,Maruti Baleno,Maruti,2019,"42,922 km",Petrol,Manual,"EMI ₹8,544/m*",₹4.84 lakh
60,Hyundai i20,Hyundai,2012,"1,09,007 km",Diesel,Manual,"EMI ₹8,544/m*",₹2.16 lakh
61,Maruti Ciaz,Maruti,2016,"98,134 km",Petrol,Manual,"EMI ₹7,697/m*",₹3.46 lakh
62,Maruti IGNIS,Maruti,2017,"85,005 km",Petrol,Manual,"EMI ₹5,865/m*",₹3.00 lakh
63,Hyundai Grand i10,Hyundai,2016,"63,868 km",Petrol,Manual,"EMI ₹5,739/m*",₹2.58 lakh
64,Maruti Ritz,Maruti,2012,"1,43,855 km",Diesel,Manual,"EMI ₹5,739/m*",₹1.43 lakh
65,Tata Harrier,Tata,2022,"64,951 km",Diesel,Manual,"EMI ₹24,759/m*",₹14.46 lakh
66,Tata NEXON,Tata,2019,"54,775 km",Petrol,Manual,"EMI ₹8,279/m*",₹4.69 lakh
67,Hyundai Elite i20,Hyundai,2016,"1,46,639 km",Diesel,Manual,"EMI ₹9,270/m*",₹3.52 lakh
68,Maruti Swift,Maruti,2011,"1,58,918 km",Diesel,Manual,"EMI ₹9,270/m*",₹1.20 lakh
