,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Hyundai Eon,Hyundai,2015,"84,569 km",Petrol,Manual,"EMI ₹3,318/m*",₹1.26 lakh
1,Honda City,Honda,2014,"1,18,794 km",Diesel,Manual,"EMI ₹9,980/m*",₹2.12 lakh
2,Honda Amaze,Honda,2013,"1,66,700 km",Diesel,Manual,"EMI ₹13,949/m*",₹1.57 lakh
3,Maruti Swift,Maruti,2023,"35,442 km",Petrol,Manual,"EMI ₹9,550/m*",₹5.41 lakh
4,Hyundai Grand i10,Hyundai,2018,"1,06,672 km",Petrol,Manual,"EMI ₹7,185/m*",₹3.23 lakh
5,Maruti Baleno,Maruti,2019,"1,70,842 km",Petrol,Manual,"EMI ₹9,254/m*",₹4.16 lakh
6,Hyundai Elite i20,Hyundai,2018,"1,08,000 km",Petrol,Manual,"EMI ₹7,029/m*",₹3.16 lakh
7,Maruti Wagon R 1.0,Maruti,2011,"1,59,417 km",Petrol,Manual,"EMI ₹7,029/m*",₹1.15 lakh
8,Maruti Eeco,Maruti,2015,"1,92,643 km",Petrol,Manual,"EMI ₹1,606/m*",₹0.61 lakh
9,Tata Tiago,Tata,2021,"46,278 km",Petrol,Manual,"EMI ₹7,185/m*",₹4.07 lakh
10,Mahindra XUV500,Mahindra,2015,"1,41,110 km",Diesel,Manual,"EMI ₹12,123/m*",₹3.65 lakh
11,Hyundai Verna,Hyundai,2018,"90,977 km",Diesel,Manual,"EMI ₹9,931/m*",₹5.08 lakh
12,Hyundai i20,Hyundai,2011,"80,250 km",Petrol,Manual,"EMI ₹9,931/m*",₹0.65 lakh
13,Maruti Eeco,Maruti,2017,"1,64,062 km",Petrol,Manual,"EMI ₹6,584/m*",₹2.96 lakh
14,Mahindra XUV300,Mahindra,2023,"23,828 km",Petrol,Manual,"EMI ₹11,827/m*",₹6.70 lakh
15,Hyundai Creta,Hyundai,2017,"1,00,655 km",Diesel,Auto,"EMI ₹11,856/m*",₹5.33 lakh
