,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Celerio,Maruti,2017,"86,668 km",Petrol,Manual,"EMI ₹5,865/m*",₹3.00 lakh
1,Tata Tiago,Tata,2017,"65,432 km",Petrol,Manual,"EMI ₹6,572/m*",₹3.36 lakh
2,Honda Amaze,Honda,2022,"26,343 km",Petrol,Manual,"EMI ₹9,532/m*",₹5.40 lakh
3,Skoda Rapid,Skoda,2018,"92,251 km",Diesel,Manual,"EMI ₹9,971/m*",₹5.10 lakh
4,Nissan Kicks,Nissan,2019,"98,840 km",Diesel,Manual,"EMI ₹8,474/m*",₹4.80 lakh
5,Maruti Baleno,Maruti,2021,"95,659 km",Petrol,Auto,"EMI ₹9,709/m*",₹5.50 lakh
6,Tata NEXON,Tata,2019,"1,11,783 km",Petrol,Manual,"EMI ₹9,244/m*",₹4.16 lakh
7,Honda City,Honda,2019,"46,741 km",Diesel,Manual,"EMI ₹9,841/m*",₹5.57 lakh
8,Hyundai NEW SANTRO,Hyundai,2021,"28,560 km",Petrol,Manual,"EMI ₹6,885/m*",₹3.90 lakh
9,Maruti S PRESSO,Maruti,2021,"76,607 km",Petrol,Manual,"EMI ₹5,523/m*",₹3.13 lakh
10,Skoda SLAVIA,Skoda,2022,"52,763 km",Petrol,Auto,"EMI ₹15,753/m*",₹9.20 lakh
11,Hyundai VENUE,Hyundai,2020,"1,03,236 km",Petrol,Manual,"EMI ₹10,900/m*",₹4.90 lakh
12,Maruti Alto 800,Maruti,2016,"55,877 km",Petrol,Manual,"EMI ₹4,427/m*",₹1.99 lakh
13,Maruti Swift,Maruti,2023,"44,029 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
14,Honda City,Honda,2020,"91,515 km",Petrol,Auto,"EMI ₹14,122/m*",₹8.00 lakh
15,Mahindra KUV 100 NXT,Mahindra,2018,"63,047 km",Petrol,Manual,"EMI ₹5,208/m*",₹2.95 lakh
16,Maruti Dzire,Maruti,2020,"1,27,250 km",CNG,Manual,"EMI ₹10,789/m*",₹4.85 lakh
17,Skoda SLAVIA,Skoda,2022,"51,064 km",Petrol,Manual,"EMI ₹14,642/m*",₹8.55 lakh
18,Volkswagen Ameo,Volkswagen,2016,"79,717 km",Petrol,Manual,"EMI ₹6,518/m*",₹2.93 lakh
19,KIA SELTOS,KIA,2021,"29,800 km",Petrol,Manual,"EMI ₹13,501/m*",₹7.65 lakh
20,Nissan MAGNITE,Nissan,2024,"15,036 km",Petrol,Auto,"EMI ₹8,826/m*",₹5.00 lakh
21,Hyundai AURA,Hyundai,2022,"45,032 km",Petrol,Manual,"EMI ₹9,794/m*",₹5.55 lakh
22,Nissan MAGNITE,Nissan,2023,"27,930 km",Petrol,Manual,"EMI ₹8,470/m*",₹4.80 lakh
23,Hyundai GRAND I10 NIOS,Hyundai,2022,"58,830 km",Petrol,Manual,"EMI ₹6,428/m*",₹3.64 lakh
24,Volkswagen Ameo,Volkswagen,2019,"49,461 km",Diesel,Manual,"EMI ₹8,120/m*",₹4.60 lakh
25,Mahindra Thar,Mahindra,2021,"60,890 km",Diesel,Auto,"EMI ₹17,037/m*",₹9.95 lakh
26,Honda City,Honda,2014,"34,314 km",Petrol,Manual,"EMI ₹10,296/m*",₹3.10 lakh
27,Volkswagen Polo,Volkswagen,2020,"70,362 km",Petrol,Manual,"EMI ₹6,720/m*",₹3.81 lakh
28,Maruti Baleno,Maruti,2016,"53,335 km",Petrol,Auto,"EMI ₹7,613/m*",₹3.42 lakh
29,Tata TIGOR,Tata,2021,"23,482 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
30,KIA CARENS,KIA,2024,"20,724 km",Petrol,Manual,"EMI ₹16,181/m*",₹9.45 lakh
31,Maruti Swift,Maruti,2015,"73,731 km",Petrol,Manual,"EMI ₹9,077/m*",₹3.45 lakh
32,Tata Harrier,Tata,2022,"60,641 km",Diesel,Auto,"EMI ₹23,150/m*",₹13.52 lakh
33,Maruti Baleno,Maruti,2017,"96,493 km",Petrol,Auto,"EMI ₹7,722/m*",₹3.95 lakh
34,Maruti Alto K10,Maruti,2025,"7,736 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
35,Hyundai NEW I20,Hyundai,2023,"39,600 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
36,Honda City,Honda,2019,"34,159 km",Petrol,Manual,"EMI ₹9,797/m*",₹5.55 lakh
37,Renault TRIBER,Renault,2022,"72,311 km",Petrol,Manual,"EMI ₹7,497/m*",₹4.25 lakh
38,Hyundai Verna,Hyundai,2018,"68,211 km",Diesel,Manual,"EMI ₹15,128/m*",₹7.74 lakh
39,Maruti Celerio,Maruti,2021,"68,756 km",Petrol,Auto,"EMI ₹7,149/m*",₹4.05 lakh
40,Hyundai Creta,Hyundai,2016,"99,170 km",Petrol,Auto,"EMI ₹11,790/m*",₹5.30 lakh
41,Volkswagen Vento,Volkswagen,2017,"99,230 km",Diesel,Auto,"EMI ₹10,496/m*",₹4.72 lakh
42,Maruti Alto K10,Maruti,2018,"61,893 km",Petrol,Manual,"EMI ₹4,712/m*",₹2.67 lakh
43,Hyundai Elite i20,Hyundai,2019,"83,244 km",Petrol,Manual,"EMI ₹7,235/m*",₹4.10 lakh
44,Maruti Vitara Brezza,Maruti,2020,"71,046 km",Petrol,Manual,"EMI ₹10,768/m*",₹6.10 lakh
45,Ford Ecosport,Ford,2018,"1,42,097 km",Diesel,Manual,"EMI ₹11,456/m*",₹5.15 lakh
46,Honda Amaze,Honda,2014,"82,448 km",Petrol,Manual,"EMI ₹7,971/m*",₹2.40 lakh
47,Maruti IGNIS,Maruti,2018,"55,687 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
48,Hyundai VENUE,Hyundai,2019,"78,033 km",Petrol,Auto,"EMI ₹10,771/m*",₹6.10 lakh
49,Hyundai Elite i20,Hyundai,2019,"85,850 km",Petrol,Manual,"EMI ₹7,224/m*",₹4.09 lakh
50,Hyundai Eon,Hyundai,2015,"68,938 km",Petrol,Manual,"EMI ₹5,398/m*",₹2.05 lakh
51,Volkswagen Vento,Volkswagen,2018,"1,31,512 km",Diesel,Auto,"EMI ₹11,016/m*",₹4.95 lakh
52,Maruti Swift,Maruti,2023,"19,862 km",Petrol,Auto,"EMI ₹10,768/m*",₹6.10 lakh
53,Hyundai Verna,Hyundai,2023,"24,896 km",Petrol,Manual,"EMI ₹17,205/m*",₹10.05 lakh
54,Honda Amaze,Honda,2014,"63,777 km",CNG,Manual,"EMI ₹23,101/m*",₹2.60 lakh
55,KIA SONET,KIA,2023,"19,847 km",Petrol,Manual,"EMI ₹14,040/m*",₹8.20 lakh
56,Honda Amaze,Honda,2021,"53,671 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
57,Maruti Vitara Brezza,Maruti,2022,"56,114 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
58,KIA SONET,KIA,2020,"59,261 km",Petrol,Auto,"EMI ₹11,127/m*",₹6.30 lakh
59,Tata NEXON,Tata,2018,"96,091 km",Petrol,Manual,"EMI ₹7,058/m*",₹4.00 lakh
60,Toyota Glanza,Toyota,2019,"53,194 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
61,Hyundai NEW I20,Hyundai,2020,"66,458 km",Petrol,Manual,"EMI ₹9,091/m*",₹5.15 lakh
62,MG HECTOR,MG,2019,"56,612 km",Diesel,Manual,"EMI ₹17,122/m*",₹10.00 lakh
63,Maruti Celerio,Maruti,2021,"52,331 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
64,Honda Amaze,Honda,2018,"66,454 km",Diesel,Auto,"EMI ₹10,362/m*",₹5.30 lakh
65,Skoda SLAVIA,Skoda,2022,"75,166 km",Petrol,Manual,"EMI ₹12,803/m*",₹7.25 lakh
66,Maruti Alto 800,Maruti,2017,"81,982 km",Petrol,Manual,"EMI ₹4,497/m*",₹2.30 lakh
67,Hyundai Elite i20,Hyundai,2020,"38,720 km",Petrol,Manual,"EMI ₹8,650/m*",₹4.90 lakh
68,Tata ALTROZ,Tata,2023,"37,220 km",Petrol,Manual,"EMI ₹11,807/m*",₹6.69 lakh
69,Hyundai Grand i10,Hyundai,2020,"13,254 km",Petrol,Manual,"EMI ₹7,238/m*",₹4.10 lakh
70,Maruti Vitara Brezza,Maruti,2020,"42,566 km",Diesel,Manual,"EMI ₹12,269/m*",₹6.95 lakh
71,Tata TIAGO NRG,Tata,2022,"32,601 km",CNG,Auto,"EMI ₹10,150/m*",₹5.75 lakh
72,Honda Amaze,Honda,2016,"23,030 km",Petrol,Manual,"EMI ₹7,229/m*",₹3.25 lakh
73,Tata Tiago,Tata,2018,"51,520 km",Petrol,Manual,"EMI ₹6,109/m*",₹3.46 lakh
74,Honda Amaze,Honda,2022,"34,195 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
75,Tata TIGOR,Tata,2018,"79,067 km",Petrol,Manual,"EMI ₹5,583/m*",₹3.16 lakh
76,Tata Hexa,Tata,2017,"57,257 km",Diesel,Auto,"EMI ₹14,090/m*",₹6.33 lakh
77,Mahindra BOLERO NEO,Mahindra,2022,"42,523 km",Diesel,Manual,"EMI ₹14,760/m*",₹8.62 lakh
78,Hyundai Xcent,Hyundai,2017,"1,01,762 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
79,KIA SYROS,KIA,2025,"2,598 km",Petrol,Manual,"EMI ₹17,037/m*",₹9.95 lakh
80,Maruti Celerio,Maruti,2017,"91,381 km",Petrol,Auto,"EMI ₹6,162/m*",₹3.15 lakh
81,Hyundai Elite i20,Hyundai,2017,"93,604 km",Petrol,Manual,"EMI ₹8,010/m*",₹4.10 lakh
82,Maruti Wagon R 1.0,Maruti,2018,"48,105 km",Petrol,Auto,"EMI ₹5,649/m*",₹3.20 lakh
83,Honda City,Honda,2019,"42,966 km",Petrol,Manual,"EMI ₹10,852/m*",₹6.15 lakh
84,Hyundai Elite i20,Hyundai,2017,"91,027 km",Petrol,Manual,"EMI ₹8,016/m*",₹4.10 lakh
85,Mahindra MARAZZO,Mahindra,2019,"69,853 km",Diesel,Manual,"EMI ₹10,768/m*",₹6.10 lakh
86,Honda City,Honda,2019,"54,188 km",Petrol,Auto,"EMI ₹9,744/m*",₹5.52 lakh
87,Maruti S Cross,Maruti,2020,"11,656 km",Petrol,Manual,"EMI ₹11,853/m*",₹6.71 lakh
88,Hyundai Elite i20,Hyundai,2017,"87,263 km",Petrol,Manual,"EMI ₹8,521/m*",₹4.36 lakh
89,Ford FREESTYLE,Ford,2018,"1,28,009 km",Petrol,Manual,"EMI ₹6,890/m*",₹3.10 lakh
90,Honda WR-V,Honda,2017,"1,46,319 km",Petrol,Manual,"EMI ₹8,125/m*",₹3.65 lakh
91,Hyundai Elite i20,Hyundai,2017,"61,636 km",Petrol,Manual,"EMI ₹8,700/m*",₹4.45 lakh
92,Honda City,Honda,2018,"41,960 km",Petrol,Auto,"EMI ₹10,244/m*",₹5.80 lakh
93,Honda City,Honda,2017,"68,322 km",Petrol,Auto,"EMI ₹10,459/m*",₹5.35 lakh
94,Maruti Alto 800,Maruti,2018,"95,111 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
95,Renault Kiger,Renault,2022,"74,623 km",Petrol,Manual,"EMI ₹8,563/m*",₹4.85 lakh
96,Volkswagen Polo,Volkswagen,2019,"1,03,074 km",Petrol,Auto,"EMI ₹11,514/m*",₹5.18 lakh
97,Hyundai GRAND I10 NIOS,Hyundai,2020,"85,637 km",CNG,Auto,"EMI ₹9,268/m*",₹5.25 lakh
98,Maruti Ciaz,Maruti,2022,"69,755 km",Petrol,Manual,"EMI ₹11,298/m*",₹6.40 lakh
99,Maruti IGNIS,Maruti,2019,"84,136 km",Petrol,Auto,"EMI ₹7,238/m*",₹4.10 lakh
100,Hyundai Grand i10,Hyundai,2016,"76,742 km",Petrol,Manual,"EMI ₹8,342/m*",₹3.75 lakh
101,Honda City,Honda,2017,"46,585 km",Petrol,Manual,"EMI ₹10,557/m*",₹5.40 lakh
102,Tata NEXON,Tata,2019,"51,195 km",CNG,Manual,"EMI ₹11,353/m*",₹5.81 lakh
103,Maruti IGNIS,Maruti,2021,"48,171 km",Petrol,Manual,"EMI ₹7,474/m*",₹4.23 lakh
104,Maruti Baleno,Maruti,2018,"31,883 km",Petrol,Manual,"EMI ₹7,375/m*",₹4.18 lakh
105,Maruti Wagon R 1.0,Maruti,2018,"97,429 km",Petrol,Manual,"EMI ₹5,530/m*",₹3.13 lakh
106,Nissan Terrano,Nissan,2015,"1,04,631 km",Diesel,Manual,"EMI ₹4,883/m*",₹1.47 lakh
