,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Alto 800,Maruti,2016,"42,927 km",Petrol,Manual,"EMI ₹4,849/m*",₹2.18 lakh
1,Maruti Wagon R 1.0,Maruti,2016,"86,530 km",Petrol,Manual,"EMI ₹5,583/m*",₹2.51 lakh
2,Maruti Swift Dzire,Maruti,2016,"1,36,220 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
3,Hyundai Elite i20,Hyundai,2015,"1,13,326 km",Diesel,Manual,"EMI ₹12,655/m*",₹3.81 lakh
4,Nissan Micra Active,Nissan,2016,"67,823 km",Petrol,Manual,"EMI ₹5,205/m*",₹2.34 lakh
5,Tata Tiago,Tata,2022,"71,291 km",Petrol,Manual,"EMI ₹9,603/m*",₹5.44 lakh
6,Maruti XL6,Maruti,2022,"56,730 km",Petrol,Auto,"EMI ₹19,280/m*",₹11.26 lakh
7,Hyundai Grand i10,Hyundai,2014,"56,673 km",Petrol,Auto,"EMI ₹9,798/m*",₹2.95 lakh
8,Honda City,Honda,2015,"1,56,844 km",Diesel,Manual,"EMI ₹13,319/m*",₹4.01 lakh
9,Honda Amaze,Honda,2017,"1,28,366 km",Diesel,Manual,"EMI ₹6,562/m*",₹2.95 lakh
10,Maruti IGNIS,Maruti,2019,"38,836 km",Petrol,Manual,"EMI ₹6,426/m*",₹3.64 lakh
11,Volkswagen Vento,Volkswagen,2012,"1,37,850 km",Diesel,Manual,"EMI ₹6,426/m*",₹2.11 lakh
12,Hyundai i20,Hyundai,2013,"71,497 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
13,Maruti Wagon R 1.0,Maruti,2017,"68,458 km",Petrol,Manual,"EMI ₹5,172/m*",₹2.33 lakh
14,Hyundai Elite i20,Hyundai,2014,"71,885 km",Diesel,Manual,"EMI ₹16,476/m*",₹3.50 lakh
15,Jeep Compass,Jeep,2017,"98,643 km",Diesel,Manual,"EMI ₹20,460/m*",₹9.41 lakh
16,Chevrolet Sail,Chevrolet,2015,"68,663 km",Diesel,Manual,"EMI ₹6,809/m*",₹2.05 lakh
17,Mahindra BOLERO NEO,Mahindra,2023,"1,13,116 km",Diesel,Manual,"EMI ₹16,683/m*",₹7.50 lakh
18,Maruti Wagon R 1.0,Maruti,2013,"1,08,873 km",Petrol,Manual,"EMI ₹9,226/m*",₹1.96 lakh
19,Renault Kwid,Renault,2017,"90,151 km",Petrol,Manual,"EMI ₹4,712/m*",₹2.41 lakh
20,Ford Figo,Ford,2012,"1,07,175 km",Diesel,Manual,"EMI ₹4,712/m*",₹1.14 lakh
21,Hyundai i20,Hyundai,2010,"1,51,672 km",Diesel,Manual,"EMI ₹4,712/m*",₹1.44 lakh
22,Chevrolet Cruze,Chevrolet,2012,"1,00,296 km",Diesel,Auto,"EMI ₹4,712/m*",₹2.06 lakh
23,Ford Figo,Ford,2012,"1,19,269 km",Diesel,Manual,"EMI ₹4,712/m*",₹1.25 lakh
24,Datsun Go,Datsun,2014,"82,422 km",Petrol,Manual,"EMI ₹3,919/m*",₹1.18 lakh
25,Hyundai Verna,Hyundai,2013,"1,32,800 km",Diesel,Manual,"EMI ₹24,256/m*",₹2.73 lakh
26,Maruti Swift,Maruti,2017,"1,00,174 km",Diesel,Manual,"EMI ₹10,232/m*",₹4.60 lakh
