,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Hyundai Eon,Hyundai,2014,"69,866 km",Petrol,Manual,"EMI ₹5,294/m*",₹1.59 lakh
1,Datsun Redi Go,Datsun,2020,"41,254 km",Petrol,Manual,"EMI ₹4,943/m*",₹2.80 lakh
2,Maruti Celerio,Maruti,2019,"10,304 km",Petrol,Manual,"EMI ₹6,030/m*",₹3.42 lakh
3,Mahindra Thar,Mahindra,2021,"85,850 km",Diesel,Auto,"EMI ₹16,266/m*",₹9.50 lakh
4,Maruti Ertiga,Maruti,2019,"92,458 km",Petrol,Manual,"EMI ₹12,354/m*",₹7.00 lakh
5,Hyundai Elite i20,Hyundai,2019,"35,356 km",Petrol,Manual,"EMI ₹6,992/m*",₹3.96 lakh
6,Maruti Dzire,Maruti,2019,"30,100 km",Petrol,Manual,"EMI ₹8,059/m*",₹4.57 lakh
7,Mahindra Scorpio,Mahindra,2021,"59,447 km",Diesel,Manual,"EMI ₹18,820/m*",₹10.99 lakh
8,Ford FREESTYLE,Ford,2019,"27,488 km",Petrol,Manual,"EMI ₹6,626/m*",₹3.75 lakh
9,Maruti Alto 800,Maruti,2018,"80,610 km",Petrol,Manual,"EMI ₹2,698/m*",₹1.53 lakh
10,Maruti S Cross,Maruti,2021,"28,379 km",Petrol,Manual,"EMI ₹11,076/m*",₹6.27 lakh
11,Ford Ecosport,Ford,2019,"61,635 km",Petrol,Manual,"EMI ₹7,594/m*",₹4.30 lakh
12,Skoda KUSHAQ,Skoda,2023,"66,576 km",Petrol,Manual,"EMI ₹16,092/m*",₹9.40 lakh
13,Hyundai AURA,Hyundai,2021,"95,560 km",CNG,Manual,"EMI ₹8,297/m*",₹4.70 lakh
14,Maruti Alto K10,Maruti,2018,"87,853 km",Petrol,Manual,"EMI ₹4,065/m*",₹2.30 lakh
15,Skoda KUSHAQ,Skoda,2022,"71,865 km",Petrol,Manual,"EMI ₹14,443/m*",₹8.44 lakh
16,Maruti Celerio,Maruti,2021,"72,775 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
17,Hyundai VENUE,Hyundai,2020,"32,411 km",Petrol,Manual,"EMI ₹10,503/m*",₹5.95 lakh
18,Maruti Swift,Maruti,2018,"33,345 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
19,Tata NEXON,Tata,2020,"46,430 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
20,Honda Amaze,Honda,2024,"19,948 km",Petrol,Manual,"EMI ₹11,774/m*",₹6.67 lakh
21,Maruti Alto K10,Maruti,2019,"35,115 km",Petrol,Manual,"EMI ₹4,264/m*",₹2.42 lakh
22,Hyundai NEW I20,Hyundai,2023,"54,110 km",Petrol,Manual,"EMI ₹9,974/m*",₹5.65 lakh
23,Hyundai EXTER,Hyundai,2023,"36,600 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
24,Maruti Celerio,Maruti,2016,"52,386 km",Petrol,Auto,"EMI ₹5,697/m*",₹2.56 lakh
25,Datsun Redi Go,Datsun,2020,"24,295 km",Petrol,Manual,"EMI ₹3,742/m*",₹2.12 lakh
26,Hyundai Eon,Hyundai,2013,"40,001 km",Petrol,Manual,"EMI ₹6,967/m*",₹1.48 lakh
27,Tata Tiago,Tata,2023,"45,481 km",Petrol,Manual,"EMI ₹7,149/m*",₹4.05 lakh
28,Toyota Etios,Toyota,2020,"65,593 km",CNG,Manual,"EMI ₹6,411/m*",₹3.63 lakh
29,Tata Tiago,Tata,2023,"14,332 km",Petrol,Auto,"EMI ₹8,209/m*",₹4.65 lakh
