,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Celerio,Maruti,2016,"92,909 km",Petrol,Auto,"EMI ₹7,069/m*",₹3.18 lakh
1,Mahindra XUV700,Mahindra,2024,"33,869 km",Diesel,Auto,"EMI ₹34,245/m*",₹20.00 lakh
2,Maruti Grand Vitara,Maruti,2022,"31,545 km",Petrol,Auto,"EMI ₹22,687/m*",₹13.25 lakh
3,Volkswagen Vento,Volkswagen,2019,"55,922 km",Petrol,Auto,"EMI ₹12,002/m*",₹6.80 lakh
4,Hyundai i10,Hyundai,2013,"27,481 km",Petrol,Manual,"EMI ₹10,901/m*",₹2.32 lakh
5,Honda Amaze,Honda,2015,"51,423 km",Petrol,Manual,"EMI ₹8,690/m*",₹3.30 lakh
6,Maruti Alto K10,Maruti,2016,"73,671 km",Petrol,Auto,"EMI ₹5,976/m*",₹2.69 lakh
7,Maruti Wagon R 1.0,Maruti,2013,"37,495 km",Petrol,Manual,"EMI ₹10,712/m*",₹2.28 lakh
8,Maruti Swift,Maruti,2015,"1,12,676 km",Petrol,Manual,"EMI ₹10,077/m*",₹3.83 lakh
9,Maruti Celerio,Maruti,2022,"84,281 km",CNG,Manual,"EMI ₹7,873/m*",₹4.46 lakh
10,Renault Kwid,Renault,2019,"60,949 km",Petrol,Manual,"EMI ₹5,750/m*",₹3.26 lakh
11,Tata NEXON,Tata,2023,"24,857 km",Petrol,Manual,"EMI ₹14,143/m*",₹8.26 lakh
12,Maruti New Wagon-R,Maruti,2021,"63,246 km",CNG,Manual,"EMI ₹8,122/m*",₹4.60 lakh
13,Hyundai NEW SANTRO,Hyundai,2020,"80,349 km",CNG,Manual,"EMI ₹6,411/m*",₹3.63 lakh
14,Mahindra XUV700,Mahindra,2022,"17,184 km",Petrol,Auto,"EMI ₹29,964/m*",₹17.50 lakh
15,Jaguar XF,Jaguar,2015,"48,465 km",Diesel,Auto,"EMI ₹45,638/m*",₹13.94 lakh
16,Hyundai Grand i10,Hyundai,2019,"9,788 km",Petrol,Manual,"EMI ₹8,372/m*",₹4.74 lakh
17,Toyota YARIS,Toyota,2021,"39,201 km",Petrol,Manual,"EMI ₹10,433/m*",₹5.91 lakh
18,Hyundai Grand i10,Hyundai,2016,"80,145 km",CNG,Manual,"EMI ₹11,709/m*",₹3.53 lakh
19,Hyundai Grand i10,Hyundai,2017,"70,307 km",Petrol,Manual,"EMI ₹7,075/m*",₹3.62 lakh
20,Hyundai Elite i20,Hyundai,2017,"81,590 km",Petrol,Manual,"EMI ₹8,446/m*",₹4.32 lakh
21,Mercedes Benz E Class,Mercedes,2013,"40,546 km",Petrol,Auto,"EMI ₹51,269/m*",₹11.00 lakh
22,Hyundai Grand i10,Hyundai,2019,"71,622 km",Petrol,Manual,"EMI ₹6,567/m*",₹3.72 lakh
23,Honda City,Honda,2017,"55,777 km",Petrol,Manual,"EMI ₹10,164/m*",₹5.20 lakh
24,Hyundai Elite i20,Hyundai,2019,"46,282 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
25,Maruti Alto 800,Maruti,2016,"84,210 km",Petrol,Manual,"EMI ₹4,182/m*",₹1.88 lakh
26,Tata Safari,Tata,2022,"19,584 km",Diesel,Auto,"EMI ₹23,954/m*",₹13.99 lakh
27,Hyundai Elite i20,Hyundai,2016,"64,082 km",Petrol,Manual,"EMI ₹6,985/m*",₹3.14 lakh
28,Maruti Vitara Brezza,Maruti,2021,"85,455 km",Petrol,Manual,"EMI ₹11,922/m*",₹6.75 lakh
29,Honda BR-V,Honda,2017,"30,564 km",Petrol,Auto,"EMI ₹12,190/m*",₹6.24 lakh
30,Hyundai Elite i20,Hyundai,2019,"67,495 km",Petrol,Manual,"EMI ₹7,026/m*",₹3.98 lakh
31,Honda Jazz,Honda,2015,"57,633 km",Petrol,Manual,"EMI ₹9,758/m*",₹3.71 lakh
32,Mercedes Benz GLC CLASS,Mercedes,2022,"44,177 km",Diesel,Auto,"EMI ₹70,630/m*",₹41.25 lakh
33,Tata Tiago,Tata,2020,"11,848 km",Petrol,Auto,"EMI ₹7,837/m*",₹4.44 lakh
34,Maruti Wagon R 1.0,Maruti,2016,"49,646 km",Petrol,Auto,"EMI ₹7,461/m*",₹3.35 lakh
35,Renault Kwid,Renault,2016,"87,906 km",Petrol,Manual,"EMI ₹3,626/m*",₹1.63 lakh
36,Tata Harrier,Tata,2020,"96,136 km",Diesel,Auto,"EMI ₹19,999/m*",₹11.68 lakh
37,Datsun Go,Datsun,2014,"56,582 km",Petrol,Manual,"EMI ₹4,984/m*",₹1.50 lakh
38,Hyundai Verna,Hyundai,2019,"67,423 km",Diesel,Manual,"EMI ₹13,869/m*",₹8.10 lakh
39,Hyundai VENUE,Hyundai,2023,"89,108 km",Petrol,Manual,"EMI ₹12,110/m*",₹6.86 lakh
40,Tata Tiago,Tata,2016,"82,945 km",Petrol,Manual,"EMI ₹5,828/m*",₹2.62 lakh
41,Hyundai i20,Hyundai,2012,"30,584 km",Petrol,Manual,"EMI ₹18,658/m*",₹2.10 lakh
42,Hyundai VENUE,Hyundai,2023,"58,132 km",Petrol,Manual,"EMI ₹15,326/m*",₹8.95 lakh
43,Renault Kwid,Renault,2016,"85,448 km",Petrol,Manual,"EMI ₹4,249/m*",₹1.91 lakh
44,Hyundai Eon,Hyundai,2017,"65,107 km",Petrol,Manual,"EMI ₹3,890/m*",₹1.99 lakh
45,Maruti Swift Dzire,Maruti,2014,"45,890 km",Petrol,Manual,"EMI ₹9,632/m*",₹2.90 lakh
46,Volkswagen Polo,Volkswagen,2018,"46,386 km",Petrol,Manual,"EMI ₹8,363/m*",₹4.74 lakh
47,Maruti XL6,Maruti,2022,"27,960 km",Petrol,Auto,"EMI ₹17,790/m*",₹10.39 lakh
48,Maruti Celerio,Maruti,2018,"57,846 km",Petrol,Auto,"EMI ₹6,651/m*",₹3.77 lakh
49,Honda Jazz,Honda,2018,"55,117 km",Petrol,Manual,"EMI ₹6,574/m*",₹3.72 lakh
50,Maruti S Cross,Maruti,2017,"53,301 km",Diesel,Manual,"EMI ₹8,787/m*",₹3.95 lakh
51,KIA SONET,KIA,2021,"40,429 km",Petrol,Manual,"EMI ₹11,598/m*",₹6.57 lakh
52,Toyota Innova Crysta,Toyota,2021,"1,06,004 km",Diesel,Auto,"EMI ₹55,443/m*",₹25.50 lakh
53,Tata ALTROZ,Tata,2021,"98,464 km",Diesel,Manual,"EMI ₹9,567/m*",₹5.42 lakh
54,Honda ELEVATE,Honda,2024,"5,490 km",Petrol,Auto,"EMI ₹26,369/m*",₹15.40 lakh
55,Maruti Swift Dzire,Maruti,2015,"83,260 km",Petrol,Manual,"EMI ₹7,821/m*",₹2.97 lakh
56,Maruti Baleno,Maruti,2017,"92,481 km",Petrol,Manual,"EMI ₹7,429/m*",₹3.80 lakh
57,Maruti Alto K10,Maruti,2019,"30,381 km",Petrol,Manual,"EMI ₹4,542/m*",₹2.57 lakh
58,Maruti Wagon R 1.0,Maruti,2017,"84,524 km",CNG,Manual,"EMI ₹7,294/m*",₹2.77 lakh
59,Hyundai EXTER,Hyundai,2023,"20,275 km",Petrol,Auto,"EMI ₹12,753/m*",₹7.22 lakh
60,Toyota Innova Crysta,Toyota,2020,"95,785 km",Diesel,Auto,"EMI ₹38,097/m*",₹22.25 lakh
61,Honda Brio,Honda,2013,"80,237 km",Petrol,Manual,"EMI ₹9,239/m*",₹1.96 lakh
62,Mahindra XEV 9e,Mahindra,2025,"6,187 km",Electric,Auto,"EMI ₹47,087/m*",₹27.50 lakh
63,Honda City,Honda,2017,"66,444 km",Petrol,Auto,"EMI ₹10,166/m*",₹5.20 lakh
64,Tata Tiago,Tata,2018,"49,107 km",Petrol,Manual,"EMI ₹5,517/m*",₹3.13 lakh
65,Renault Kiger,Renault,2022,"40,096 km",Petrol,Manual,"EMI ₹10,739/m*",₹6.08 lakh
66,Maruti Alto,Maruti,2020,"54,362 km",CNG,Manual,"EMI ₹4,721/m*",₹2.67 lakh
67,Hyundai Verna,Hyundai,2016,"31,268 km",Petrol,Manual,"EMI ₹9,098/m*",₹4.09 lakh
68,Maruti Vitara Brezza,Maruti,2021,"95,887 km",Petrol,Manual,"EMI ₹11,033/m*",₹6.25 lakh
69,Maruti Dzire,Maruti,2022,"45,937 km",Petrol,Manual,"EMI ₹8,879/m*",₹5.03 lakh
70,Maruti New Wagon-R,Maruti,2019,"50,972 km",CNG,Manual,"EMI ₹7,820/m*",₹4.00 lakh
71,Tata Tiago,Tata,2022,"24,686 km",CNG,Manual,"EMI ₹7,714/m*",₹4.37 lakh
72,Hyundai Creta,Hyundai,2019,"85,369 km",Petrol,Auto,"EMI ₹14,011/m*",₹8.18 lakh
73,Toyota Fortuner,Toyota,2023,"56,624 km",Diesel,Auto,"EMI ₹85,612/m*",₹50.00 lakh
74,Volkswagen Polo,Volkswagen,2014,"1,24,334 km",Petrol,Manual,"EMI ₹7,314/m*",₹2.20 lakh
75,BMW Z4,BMW,2023,"28,878 km",Petrol,Auto,"EMI ₹148,965/m*",₹87.00 lakh
76,Renault Kwid,Renault,2019,"30,503 km",Petrol,Manual,"EMI ₹3,813/m*",₹2.16 lakh
77,Maruti Swift,Maruti,2013,"35,570 km",Petrol,Manual,"EMI ₹12,686/m*",₹2.69 lakh
78,Maruti Wagon R 1.0,Maruti,2016,"66,463 km",Petrol,Auto,"EMI ₹5,388/m*",₹2.42 lakh
79,Hyundai EXTER,Hyundai,2023,"7,638 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
80,Tata NEXON,Tata,2024,"22,840 km",Diesel,Manual,"EMI ₹15,102/m*",₹8.82 lakh
81,Maruti Alto K10,Maruti,2023,"38,611 km",Petrol,Manual,"EMI ₹6,064/m*",₹3.44 lakh
82,Toyota Innova Crysta,Toyota,2024,"28,782 km",Diesel,Manual,"EMI ₹46,231/m*",₹27.00 lakh
83,Skoda SLAVIA,Skoda,2023,"16,818 km",Petrol,Auto,"EMI ₹19,485/m*",₹11.38 lakh
84,Datsun Redi Go,Datsun,2018,"1,04,773 km",Petrol,Manual,"EMI ₹3,203/m*",₹1.44 lakh
85,Maruti Celerio,Maruti,2014,"79,265 km",Petrol,Manual,"EMI ₹7,606/m*",₹2.29 lakh
86,Hyundai Creta,Hyundai,2017,"94,550 km",Petrol,Manual,"EMI ₹10,655/m*",₹5.45 lakh
87,KIA SELTOS,KIA,2020,"74,418 km",Diesel,Manual,"EMI ₹14,708/m*",₹8.59 lakh
88,Hyundai AURA,Hyundai,2022,"27,951 km",CNG,Manual,"EMI ₹9,781/m*",₹5.54 lakh
