,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Renault Duster,Renault,2018,"87,335 km",Diesel,Manual,"EMI ₹7,722/m*",₹3.95 lakh
1,Maruti Alto,Maruti,2020,"49,616 km",Petrol,Manual,"EMI ₹4,739/m*",₹2.68 lakh
2,Renault Kwid,Renault,2016,"94,221 km",Petrol,Auto,"EMI ₹4,226/m*",₹1.90 lakh
3,Maruti Eeco,Maruti,2016,"66,582 km",CNG,Manual,"EMI ₹10,606/m*",₹3.19 lakh
4,Maruti Alto 800,Maruti,2017,"93,121 km",CNG,Manual,"EMI ₹5,793/m*",₹2.20 lakh
5,Tata PUNCH,Tata,2024,"32,527 km",CNG,Manual,"EMI ₹13,168/m*",₹7.46 lakh
6,Jeep Compass,Jeep,2019,"67,446 km",Diesel,Manual,"EMI ₹12,588/m*",₹7.13 lakh
7,Renault Kwid,Renault,2019,"52,407 km",Petrol,Manual,"EMI ₹4,587/m*",₹2.60 lakh
8,Tata Tiago,Tata,2021,"29,850 km",Petrol,Manual,"EMI ₹6,270/m*",₹3.55 lakh
9,Honda Amaze,Honda,2014,"66,772 km",Petrol,Manual,"EMI ₹8,802/m*",₹2.65 lakh
10,Mahindra XUV300,Mahindra,2021,"75,937 km",Diesel,Manual,"EMI ₹13,328/m*",₹7.55 lakh
11,Maruti Wagon R 1.0,Maruti,2018,"48,480 km",Petrol,Manual,"EMI ₹4,643/m*",₹2.63 lakh
12,Tata NEXON,Tata,2024,"18,392 km",Petrol,Auto,"EMI ₹14,682/m*",₹8.57 lakh
13,Renault Kwid,Renault,2018,"65,589 km",Petrol,Manual,"EMI ₹3,354/m*",₹1.90 lakh
14,Hyundai Eon,Hyundai,2016,"71,700 km",CNG,Manual,"EMI ₹5,494/m*",₹1.65 lakh
15,Hyundai Creta,Hyundai,2017,"76,961 km",Petrol,Manual,"EMI ₹10,843/m*",₹5.55 lakh
