,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Renault Kwid,Renault,2016,"77,314 km",Petrol,Manual,"EMI ₹5,558/m*",₹2.50 lakh
1,Maruti Alto 800,Maruti,2012,"60,998 km",Petrol,Manual,"EMI ₹15,774/m*",₹1.78 lakh
2,Renault Kwid,Renault,2016,"48,002 km",Petrol,Manual,"EMI ₹4,449/m*",₹2.00 lakh
3,Hyundai i20,Hyundai,2013,"1,03,608 km",Petrol,Manual,"EMI ₹13,257/m*",₹2.82 lakh
4,Maruti Swift,Maruti,2017,"99,975 km",Diesel,Manual,"EMI ₹10,865/m*",₹4.88 lakh
5,Hyundai VENUE,Hyundai,2021,"49,149 km",Petrol,Manual,"EMI ₹13,257/m*",₹7.51 lakh
6,Maruti Baleno,Maruti,2016,"1,04,538 km",Petrol,Manual,"EMI ₹9,535/m*",₹4.29 lakh
7,Ford Figo Aspire,Ford,2017,"32,188 km",Petrol,Manual,"EMI ₹6,491/m*",₹3.32 lakh
8,Honda Amaze,Honda,2015,"82,922 km",Petrol,Manual,"EMI ₹9,087/m*",₹3.45 lakh
9,Renault Kiger,Renault,2021,"69,308 km",Petrol,Auto,"EMI ₹8,650/m*",₹4.90 lakh
10,Maruti Dzire,Maruti,2017,"57,715 km",Petrol,Auto,"EMI ₹10,174/m*",₹5.20 lakh
11,Tata NEXON,Tata,2021,"48,804 km",Petrol,Manual,"EMI ₹10,926/m*",₹6.19 lakh
12,Hyundai i10,Hyundai,2016,"57,449 km",Petrol,Manual,"EMI ₹6,010/m*",₹2.70 lakh
13,Hyundai GRAND I10 NIOS,Hyundai,2022,"32,832 km",Petrol,Manual,"EMI ₹9,585/m*",₹5.43 lakh
14,KIA SONET,KIA,2024,"33,565 km",Petrol,Manual,"EMI ₹16,352/m*",₹9.55 lakh
15,Tata PUNCH,Tata,2024,"39,304 km",CNG,Manual,"EMI ₹13,416/m*",₹7.60 lakh
16,Nissan MAGNITE,Nissan,2022,"41,962 km",Petrol,Auto,"EMI ₹11,298/m*",₹6.40 lakh
17,Hyundai Grand i10,Hyundai,2017,"79,381 km",Petrol,Manual,"EMI ₹6,946/m*",₹3.55 lakh
18,Hyundai VENUE,Hyundai,2019,"71,061 km",Petrol,Auto,"EMI ₹11,104/m*",₹6.29 lakh
19,Hyundai Creta,Hyundai,2021,"75,777 km",Petrol,Manual,"EMI ₹13,363/m*",₹7.57 lakh
20,Maruti Wagon R 1.0,Maruti,2017,"88,391 km",Petrol,Manual,"EMI ₹5,455/m*",₹2.79 lakh
21,Hyundai Grand i10,Hyundai,2016,"87,759 km",Petrol,Auto,"EMI ₹7,852/m*",₹3.53 lakh
22,Maruti Wagon R 1.0,Maruti,2014,"88,365 km",Petrol,Manual,"EMI ₹9,862/m*",₹2.97 lakh
23,Hyundai Creta,Hyundai,2016,"31,439 km",Petrol,Manual,"EMI ₹11,672/m*",₹5.25 lakh
24,Tata TIGOR,Tata,2018,"62,198 km",Petrol,Manual,"EMI ₹6,637/m*",₹3.76 lakh
25,Hyundai i10,Hyundai,2013,"95,448 km",Petrol,Manual,"EMI ₹7,814/m*",₹1.66 lakh
26,Honda Jazz,Honda,2016,"63,777 km",Petrol,Auto,"EMI ₹9,209/m*",₹4.14 lakh
27,Renault Kwid,Renault,2018,"57,949 km",Petrol,Manual,"EMI ₹4,413/m*",₹2.50 lakh
28,Hyundai i20 Active,Hyundai,2017,"60,535 km",Petrol,Manual,"EMI ₹8,006/m*",₹4.09 lakh
29,Hyundai Grand i10,Hyundai,2017,"80,082 km",Petrol,Auto,"EMI ₹6,569/m*",₹3.36 lakh
30,Hyundai Elite i20,Hyundai,2018,"1,15,598 km",Petrol,Manual,"EMI ₹6,829/m*",₹3.07 lakh
31,Hyundai Verna,Hyundai,2021,"79,716 km",Diesel,Manual,"EMI ₹14,931/m*",₹8.72 lakh
32,Hyundai Grand i10,Hyundai,2016,"1,44,697 km",Petrol,Auto,"EMI ₹7,341/m*",₹3.30 lakh
33,Datsun Go,Datsun,2014,"24,712 km",Petrol,Manual,"EMI ₹5,082/m*",₹1.53 lakh
34,Volkswagen Polo,Volkswagen,2016,"97,298 km",Petrol,Manual,"EMI ₹8,164/m*",₹3.67 lakh
35,Renault Kwid,Renault,2019,"40,122 km",Petrol,Manual,"EMI ₹4,660/m*",₹2.64 lakh
36,Maruti Alto 800,Maruti,2015,"99,324 km",Petrol,Manual,"EMI ₹3,713/m*",₹1.41 lakh
37,Hyundai i20,Hyundai,2013,"38,799 km",Petrol,Manual,"EMI ₹13,499/m*",₹2.87 lakh
38,Maruti Dzire,Maruti,2018,"52,869 km",Petrol,Auto,"EMI ₹8,191/m*",₹4.64 lakh
39,Volkswagen TAIGUN,Volkswagen,2022,"93,697 km",Petrol,Manual,"EMI ₹11,121/m*",₹6.30 lakh
40,Honda Amaze,Honda,2017,"79,704 km",Petrol,Manual,"EMI ₹6,295/m*",₹3.22 lakh
41,Datsun Redi Go,Datsun,2018,"76,264 km",Petrol,Manual,"EMI ₹3,213/m*",₹1.82 lakh
42,Ford Ecosport,Ford,2013,"1,39,659 km",Diesel,Manual,"EMI ₹25,233/m*",₹2.84 lakh
43,Maruti Celerio,Maruti,2015,"91,909 km",Petrol,Auto,"EMI ₹8,315/m*",₹3.16 lakh
44,Nissan MAGNITE,Nissan,2024,"15,857 km",Petrol,Auto,"EMI ₹10,415/m*",₹5.90 lakh
45,Ford Ecosport,Ford,2017,"1,23,543 km",Diesel,Manual,"EMI ₹10,255/m*",₹4.61 lakh
46,Hyundai Grand i10,Hyundai,2019,"43,697 km",Petrol,Manual,"EMI ₹7,830/m*",₹4.44 lakh
47,Hyundai NEW I20 N LINE,Hyundai,2021,"37,163 km",Petrol,Auto,"EMI ₹12,710/m*",₹7.20 lakh
48,Hyundai Creta,Hyundai,2018,"83,121 km",Petrol,Auto,"EMI ₹12,661/m*",₹7.17 lakh
49,Maruti Celerio,Maruti,2017,"1,02,937 km",Petrol,Manual,"EMI ₹6,317/m*",₹2.84 lakh
50,Tata Tiago,Tata,2018,"1,07,749 km",Petrol,Manual,"EMI ₹6,518/m*",₹2.93 lakh
51,Chevrolet Beat,Chevrolet,2014,"1,32,192 km",Diesel,Manual,"EMI ₹6,120/m*",₹1.30 lakh
52,Maruti IGNIS,Maruti,2017,"63,285 km",Petrol,Manual,"EMI ₹7,527/m*",₹3.85 lakh
53,Hyundai Elite i20,Hyundai,2017,"49,960 km",Petrol,Manual,"EMI ₹9,149/m*",₹4.68 lakh
54,Ford Ecosport,Ford,2020,"59,560 km",Petrol,Manual,"EMI ₹10,468/m*",₹5.93 lakh
55,Tata ALTROZ,Tata,2021,"37,859 km",Diesel,Manual,"EMI ₹10,639/m*",₹6.03 lakh
56,Toyota Glanza,Toyota,2020,"59,309 km",Petrol,Auto,"EMI ₹10,751/m*",₹6.09 lakh
57,Maruti Ertiga,Maruti,2016,"87,681 km",Petrol,Manual,"EMI ₹13,412/m*",₹6.03 lakh
58,Maruti Baleno,Maruti,2023,"19,032 km",Petrol,Manual,"EMI ₹12,092/m*",₹6.85 lakh
59,Tata NEXON,Tata,2023,"36,316 km",Petrol,Auto,"EMI ₹11,774/m*",₹6.67 lakh
60,Honda Amaze,Honda,2024,"19,688 km",Petrol,Auto,"EMI ₹13,421/m*",₹7.60 lakh
61,Renault TRIBER,Renault,2020,"76,244 km",Petrol,Auto,"EMI ₹8,526/m*",₹4.83 lakh
62,Honda WR-V,Honda,2017,"1,35,810 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
63,Hyundai VENUE,Hyundai,2021,"19,027 km",Petrol,Manual,"EMI ₹11,933/m*",₹6.76 lakh
64,Renault TRIBER,Renault,2020,"29,884 km",Petrol,Auto,"EMI ₹9,133/m*",₹5.17 lakh
65,Maruti Ciaz,Maruti,2016,"35,074 km",Petrol,Manual,"EMI ₹11,456/m*",₹5.15 lakh
66,Tata NEXON,Tata,2020,"94,220 km",Diesel,Manual,"EMI ₹10,415/m*",₹5.90 lakh
67,Maruti Celerio,Maruti,2015,"55,765 km",Petrol,Auto,"EMI ₹7,720/m*",₹2.93 lakh
68,Maruti Swift,Maruti,2017,"57,423 km",Petrol,Manual,"EMI ₹8,837/m*",₹4.52 lakh
69,Hyundai Verna,Hyundai,2018,"74,022 km",Petrol,Auto,"EMI ₹9,956/m*",₹5.64 lakh
70,Toyota YARIS,Toyota,2019,"1,27,430 km",Petrol,Manual,"EMI ₹9,810/m*",₹4.41 lakh
