,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Hyundai GRAND I10 NIOS,Hyundai,2023,"9,123 km",Petrol,Auto,"EMI ₹9,498/m*",₹5.38 lakh
1,Maruti Baleno,Maruti,2019,"73,830 km",Petrol,Manual,"EMI ₹7,576/m*",₹4.29 lakh
2,Maruti Celerio,Maruti,2021,"22,976 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
3,Maruti Swift,Maruti,2019,"20,580 km",Petrol,Manual,"EMI ₹7,066/m*",₹4.00 lakh
4,KIA CARENS,KIA,2023,"12,078 km",Petrol,Auto,"EMI ₹25,400/m*",₹14.83 lakh
5,Hyundai Creta,Hyundai,2018,"98,265 km",Petrol,Manual,"EMI ₹9,801/m*",₹5.55 lakh
6,MG HECTOR PLUS,MG,2020,"91,408 km",Petrol,Manual,"EMI ₹16,609/m*",₹9.70 lakh
7,Honda Amaze,Honda,2018,"33,222 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
8,Mahindra TUV300,Mahindra,2016,"81,481 km",Diesel,Manual,"EMI ₹10,138/m*",₹3.85 lakh
9,Hyundai GRAND I10 NIOS,Hyundai,2022,"56,783 km",Petrol,Manual,"EMI ₹8,406/m*",₹4.76 lakh
10,Hyundai i10,Hyundai,2013,"48,585 km",Petrol,Manual,"EMI ₹7,782/m*",₹1.65 lakh
11,MG HECTOR PLUS,MG,2020,"52,035 km",Petrol,Manual,"EMI ₹18,232/m*",₹10.65 lakh
12,KIA SONET,KIA,2021,"34,904 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
13,Maruti IGNIS,Maruti,2018,"29,145 km",Petrol,Manual,"EMI ₹6,015/m*",₹3.41 lakh
14,Maruti Baleno,Maruti,2017,"66,316 km",Petrol,Manual,"EMI ₹7,527/m*",₹3.85 lakh
15,Hyundai Verna,Hyundai,2015,"23,905 km",Petrol,Manual,"EMI ₹7,368/m*",₹2.80 lakh
16,Tata NEXON,Tata,2024,"7,773 km",Petrol,Auto,"EMI ₹22,900/m*",₹13.37 lakh
17,Honda City,Honda,2023,"50,961 km",Petrol,Auto,"EMI ₹16,609/m*",₹9.70 lakh
18,Hyundai NEW I20,Hyundai,2023,"23,073 km",Petrol,Manual,"EMI ₹11,742/m*",₹6.65 lakh
19,Hyundai Eon,Hyundai,2016,"23,594 km",Petrol,Manual,"EMI ₹4,338/m*",₹1.95 lakh
20,Maruti Vitara Brezza,Maruti,2020,"75,835 km",Petrol,Auto,"EMI ₹10,768/m*",₹6.10 lakh
21,KIA SELTOS,KIA,2022,"20,815 km",Petrol,Manual,"EMI ₹14,897/m*",₹8.70 lakh
22,Honda City,Honda,2022,"43,284 km",Petrol,Auto,"EMI ₹15,650/m*",₹9.14 lakh
23,Hyundai GRAND I10 NIOS,Hyundai,2023,"29,661 km",Petrol,Manual,"EMI ₹7,859/m*",₹4.45 lakh
24,Hyundai VENUE,Hyundai,2022,"52,748 km",Diesel,Manual,"EMI ₹11,474/m*",₹6.50 lakh
25,Maruti Ertiga,Maruti,2021,"79,857 km",Petrol,Manual,"EMI ₹11,850/m*",₹6.71 lakh
26,Maruti Ciaz,Maruti,2021,"78,666 km",Petrol,Manual,"EMI ₹9,003/m*",₹5.10 lakh
27,Renault Kwid,Renault,2018,"47,085 km",Petrol,Manual,"EMI ₹2,754/m*",₹1.56 lakh
28,Honda Jazz,Honda,2018,"84,718 km",Diesel,Manual,"EMI ₹7,630/m*",₹3.90 lakh
29,Volkswagen Ameo,Volkswagen,2017,"68,886 km",Petrol,Manual,"EMI ₹5,572/m*",₹2.85 lakh
30,Maruti Swift,Maruti,2022,"43,123 km",Petrol,Manual,"EMI ₹8,911/m*",₹5.05 lakh
31,Hyundai NEW SANTRO,Hyundai,2021,"12,033 km",Petrol,Manual,"EMI ₹6,532/m*",₹3.70 lakh
32,Honda WR-V,Honda,2018,"39,230 km",Petrol,Manual,"EMI ₹5,705/m*",₹3.23 lakh
33,Renault Kwid,Renault,2022,"16,332 km",Petrol,Manual,"EMI ₹6,090/m*",₹3.45 lakh
34,Maruti Swift,Maruti,2018,"45,094 km",Petrol,Manual,"EMI ₹5,909/m*",₹3.35 lakh
35,Hyundai AURA,Hyundai,2020,"47,742 km",Petrol,Manual,"EMI ₹6,747/m*",₹3.82 lakh
36,Honda Amaze,Honda,2022,"20,831 km",Petrol,Manual,"EMI ₹8,120/m*",₹4.60 lakh
37,Hyundai i20 Active,Hyundai,2018,"43,067 km",Petrol,Manual,"EMI ₹9,405/m*",₹5.33 lakh
38,Hyundai VENUE,Hyundai,2024,"8,305 km",Petrol,Manual,"EMI ₹13,752/m*",₹7.79 lakh
39,Hyundai Grand i10,Hyundai,2017,"54,380 km",Petrol,Manual,"EMI ₹5,239/m*",₹2.68 lakh
40,Mahindra MARAZZO,Mahindra,2019,"87,991 km",Diesel,Manual,"EMI ₹6,983/m*",₹3.96 lakh
41,Maruti Swift,Maruti,2017,"74,732 km",Petrol,Manual,"EMI ₹5,772/m*",₹2.95 lakh
42,Maruti Wagon R 1.0,Maruti,2014,"68,771 km",Petrol,Manual,"EMI ₹6,809/m*",₹2.05 lakh
43,Hyundai NEW I20,Hyundai,2023,"35,729 km",Petrol,Auto,"EMI ₹12,533/m*",₹7.10 lakh
44,Maruti Alto K10,Maruti,2023,"50,709 km",Petrol,Manual,"EMI ₹5,561/m*",₹3.15 lakh
45,Maruti Swift,Maruti,2013,"74,540 km",Petrol,Manual,"EMI ₹8,709/m*",₹1.85 lakh
46,Honda Brio,Honda,2013,"67,018 km",Petrol,Manual,"EMI ₹7,183/m*",₹1.53 lakh
