,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Honda Jazz,Honda,2018,"47,411 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
1,Maruti Vitara Brezza,Maruti,2018,"55,196 km",Diesel,Auto,"EMI ₹15,249/m*",₹7.80 lakh
2,Ford Figo Aspire,Ford,2017,"42,174 km",Petrol,Manual,"EMI ₹7,656/m*",₹3.92 lakh
3,Hyundai Creta,Hyundai,2024,"8,823 km",Petrol,Auto,"EMI ₹30,820/m*",₹18.00 lakh
4,Renault Kwid,Renault,2017,"49,297 km",Petrol,Auto,"EMI ₹5,762/m*",₹2.95 lakh
5,Honda City,Honda,2017,"43,945 km",Petrol,Manual,"EMI ₹10,296/m*",₹5.27 lakh
6,Mahindra BOLERO NEO,Mahindra,2021,"14,978 km",Diesel,Manual,"EMI ₹13,930/m*",₹8.14 lakh
7,Maruti Ciaz,Maruti,2016,"52,851 km",Petrol,Manual,"EMI ₹10,136/m*",₹4.56 lakh
8,Skoda Rapid,Skoda,2013,"1,02,515 km",Diesel,Manual,"EMI ₹33,590/m*",₹3.78 lakh
9,Hyundai Verna,Hyundai,2012,"1,00,626 km",Petrol,Manual,"EMI ₹29,764/m*",₹3.35 lakh
10,Hyundai Verna,Hyundai,2017,"79,333 km",Petrol,Manual,"EMI ₹12,156/m*",₹6.22 lakh
11,Chevrolet Aveo,Chevrolet,2012,"37,826 km",Petrol,Manual,"EMI ₹16,082/m*",₹1.81 lakh
12,Honda Jazz,Honda,2017,"91,101 km",Petrol,Manual,"EMI ₹8,424/m*",₹4.31 lakh
13,Hyundai Grand i10,Hyundai,2019,"52,431 km",Petrol,Auto,"EMI ₹8,547/m*",₹4.84 lakh
14,Honda City,Honda,2018,"74,431 km",Petrol,Manual,"EMI ₹11,651/m*",₹6.60 lakh
15,Maruti Celerio X,Maruti,2019,"33,537 km",Petrol,Auto,"EMI ₹7,669/m*",₹4.34 lakh
16,KIA SELTOS,KIA,2019,"87,807 km",Diesel,Auto,"EMI ₹16,423/m*",₹9.59 lakh
