,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Tata Zest,Tata,2014,"77,853 km",Petrol,Manual,"EMI ₹8,104/m*",₹2.44 lakh
1,Mahindra TUV300,Mahindra,2017,"1,23,272 km",Diesel,Manual,"EMI ₹11,591/m*",₹5.21 lakh
2,Hyundai i10,Hyundai,2015,"49,938 km",Petrol,Manual,"EMI ₹7,612/m*",₹2.89 lakh
3,Hyundai Elite i20,Hyundai,2018,"70,303 km",Petrol,Manual,"EMI ₹8,570/m*",₹4.85 lakh
4,Volkswagen Polo,Volkswagen,2014,"59,971 km",Petrol,Manual,"EMI ₹9,740/m*",₹2.93 lakh
5,Maruti Swift,Maruti,2019,"98,709 km",Petrol,Manual,"EMI ₹6,743/m*",₹3.82 lakh
6,Hyundai Elite i20,Hyundai,2016,"78,328 km",Diesel,Manual,"EMI ₹13,141/m*",₹4.99 lakh
7,Nissan MAGNITE,Nissan,2022,"71,463 km",Petrol,Manual,"EMI ₹7,414/m*",₹4.20 lakh
8,Maruti Alto 800,Maruti,2012,"64,089 km",Petrol,Manual,"EMI ₹14,162/m*",₹1.59 lakh
9,Maruti New Wagon-R,Maruti,2021,"53,371 km",Petrol,Auto,"EMI ₹8,357/m*",₹4.73 lakh
10,Maruti Alto 800,Maruti,2013,"60,385 km",Petrol,Manual,"EMI ₹8,476/m*",₹1.80 lakh
11,Tata Tiago,Tata,2018,"75,356 km",Petrol,Manual,"EMI ₹6,522/m*",₹3.69 lakh
12,Hyundai GRAND I10 NIOS,Hyundai,2019,"1,05,170 km",Petrol,Manual,"EMI ₹8,965/m*",₹4.03 lakh
13,Maruti Swift,Maruti,2013,"36,500 km",Petrol,Manual,"EMI ₹16,443/m*",₹3.49 lakh
14,Hyundai Creta,Hyundai,2020,"49,160 km",Petrol,Auto,"EMI ₹19,725/m*",₹11.52 lakh
15,Hyundai Grand i10,Hyundai,2016,"87,020 km",Petrol,Manual,"EMI ₹6,918/m*",₹3.11 lakh
16,Datsun Go,Datsun,2016,"43,007 km",Petrol,Manual,"EMI ₹4,898/m*",₹2.20 lakh
