,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Volkswagen TAIGUN,Volkswagen,2021,"39,135 km",Petrol,Auto,"EMI ₹20,975/m*",₹12.25 lakh
1,Renault TRIBER,Renault,2021,"61,752 km",Petrol,Auto,"EMI ₹6,284/m*",₹3.56 lakh
2,Mercedes Benz CLS Class,Mercedes,2015,"31,794 km",Diesel,Auto,"EMI ₹83,484/m*",₹25.50 lakh
3,Ford Ecosport,Ford,2015,"1,15,854 km",Diesel,Manual,"EMI ₹13,226/m*",₹3.98 lakh
4,Hyundai Grand i10,Hyundai,2015,"65,739 km",Petrol,Manual,"EMI ₹7,898/m*",₹3.00 lakh
5,Honda City,Honda,2017,"42,504 km",Petrol,Manual,"EMI ₹9,164/m*",₹4.69 lakh
6,Tata ALTROZ,Tata,2021,"23,470 km",Petrol,Manual,"EMI ₹9,753/m*",₹5.52 lakh
7,Maruti Dzire,Maruti,2017,"1,06,513 km",CNG,Auto,"EMI ₹11,931/m*",₹4.53 lakh
8,Maruti New Wagon-R,Maruti,2020,"55,390 km",CNG,Manual,"EMI ₹7,372/m*",₹4.18 lakh
9,Jaguar XF,Jaguar,2015,"36,442 km",Petrol,Auto,"EMI ₹34,245/m*",₹13.25 lakh
10,Honda City,Honda,2015,"74,976 km",CNG,Auto,"EMI ₹22,204/m*",₹4.72 lakh
11,Maruti Ertiga,Maruti,2021,"1,37,334 km",Petrol,Auto,"EMI ₹17,873/m*",₹8.22 lakh
12,Nissan Micra,Nissan,2019,"1,03,683 km",Petrol,Auto,"EMI ₹5,606/m*",₹2.52 lakh
13,Hyundai Eon,Hyundai,2014,"27,630 km",Petrol,Manual,"EMI ₹5,314/m*",₹1.60 lakh
14,Maruti Swift,Maruti,2020,"24,651 km",Petrol,Auto,"EMI ₹9,125/m*",₹5.17 lakh
15,Hyundai GRAND I10 NIOS,Hyundai,2021,"19,605 km",Petrol,Auto,"EMI ₹10,105/m*",₹5.72 lakh
16,Honda Amaze,Honda,2013,"98,015 km",Petrol,Auto,"EMI ₹10,827/m*",₹2.30 lakh
17,Maruti Ertiga,Maruti,2022,"15,361 km",Petrol,Manual,"EMI ₹16,523/m*",₹9.65 lakh
18,Volkswagen TAIGUN,Volkswagen,2022,"38,709 km",Petrol,Auto,"EMI ₹17,550/m*",₹10.25 lakh
19,Maruti Swift,Maruti,2018,"59,726 km",Petrol,Auto,"EMI ₹7,078/m*",₹4.01 lakh
20,Hyundai Grand i10,Hyundai,2014,"49,805 km",Petrol,Manual,"EMI ₹9,255/m*",₹2.79 lakh
21,Landrover DISCOVERY SPORT,Landrover,2020,"49,183 km",Diesel,Auto,"EMI ₹68,062/m*",₹39.75 lakh
22,Honda City,Honda,2017,"60,476 km",Petrol,Auto,"EMI ₹10,083/m*",₹5.16 lakh
23,Hyundai i20,Hyundai,2013,"98,565 km",Petrol,Manual,"EMI ₹10,121/m*",₹2.15 lakh
24,Maruti XL6,Maruti,2022,"26,398 km",Petrol,Auto,"EMI ₹17,979/m*",₹10.50 lakh
25,Renault Kwid,Renault,2018,"99,104 km",Petrol,Manual,"EMI ₹3,146/m*",₹1.78 lakh
26,Toyota Innova Crysta,Toyota,2022,"68,122 km",Diesel,Manual,"EMI ₹34,074/m*",₹19.90 lakh
27,Datsun Redi Go,Datsun,2018,"53,059 km",Petrol,Manual,"EMI ₹2,499/m*",₹1.42 lakh
28,Tata Tiago,Tata,2016,"74,675 km",Petrol,Manual,"EMI ₹6,730/m*",₹3.03 lakh
29,Jeep Compass,Jeep,2018,"40,683 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
30,Maruti Ciaz,Maruti,2018,"88,214 km",Diesel,Manual,"EMI ₹11,861/m*",₹6.07 lakh
31,Hyundai Creta,Hyundai,2019,"46,498 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
32,Volkswagen Ameo,Volkswagen,2019,"39,830 km",Diesel,Auto,"EMI ₹9,884/m*",₹5.60 lakh
33,Hyundai GRAND I10 NIOS,Hyundai,2022,"49,692 km",CNG,Manual,"EMI ₹9,853/m*",₹5.58 lakh
34,Hyundai Verna,Hyundai,2018,"69,617 km",Petrol,Auto,"EMI ₹10,486/m*",₹5.94 lakh
35,Tata PUNCH,Tata,2021,"65,734 km",Petrol,Manual,"EMI ₹8,967/m*",₹5.08 lakh
36,Toyota Corolla Altis,Toyota,2014,"1,03,843 km",Petrol,Manual,"EMI ₹14,436/m*",₹4.35 lakh
37,Honda City,Honda,2015,"94,742 km",Petrol,Manual,"EMI ₹9,187/m*",₹3.49 lakh
38,Hyundai Creta,Hyundai,2017,"1,17,634 km",CNG,Auto,"EMI ₹14,789/m*",₹5.62 lakh
39,Toyota Fortuner,Toyota,2021,"58,417 km",Diesel,Auto,"EMI ₹64,894/m*",₹37.90 lakh
40,Hyundai i10,Hyundai,2012,"62,494 km",Petrol,Manual,"EMI ₹14,571/m*",₹1.64 lakh
41,Maruti Swift Dzire,Maruti,2016,"36,676 km",Petrol,Manual,"EMI ₹6,493/m*",₹2.92 lakh
42,Landrover RANGE ROVER VELAR,Landrover,2021,"43,114 km",Diesel,Auto,"EMI ₹107,786/m*",₹62.95 lakh
43,Renault Kwid,Renault,2016,"62,857 km",Petrol,Manual,"EMI ₹4,007/m*",₹1.80 lakh
44,KIA SELTOS,KIA,2019,"50,671 km",Petrol,Manual,"EMI ₹16,932/m*",₹9.89 lakh
45,Honda City,Honda,2015,"43,550 km",Petrol,Manual,"EMI ₹9,485/m*",₹3.60 lakh
46,Maruti Alto K10,Maruti,2016,"27,630 km",CNG,Manual,"EMI ₹6,371/m*",₹1.92 lakh
47,KIA SONET,KIA,2020,"34,389 km",Diesel,Manual,"EMI ₹16,266/m*",₹9.50 lakh
48,Tata TIGOR,Tata,2019,"1,06,899 km",Petrol,Auto,"EMI ₹7,185/m*",₹3.23 lakh
49,Audi Q7,Audi,2022,"32,425 km",Petrol,Auto,"EMI ₹106,159/m*",₹62.00 lakh
50,Honda City,Honda,2014,"51,383 km",Petrol,Manual,"EMI ₹9,626/m*",₹2.90 lakh
51,Mahindra XUV300,Mahindra,2020,"1,03,497 km",Petrol,Manual,"EMI ₹11,389/m*",₹5.12 lakh
52,Hyundai Verna,Hyundai,2014,"69,212 km",Diesel,Auto,"EMI ₹16,193/m*",₹3.44 lakh
53,Tata NEXON,Tata,2021,"52,465 km",Petrol,Auto,"EMI ₹12,812/m*",₹7.26 lakh
54,Mercedes Benz E Class,Mercedes,2016,"62,468 km",Diesel,Auto,"EMI ₹33,082/m*",₹12.80 lakh
55,Hyundai ALCAZAR,Hyundai,2022,"78,426 km",Diesel,Auto,"EMI ₹23,971/m*",₹14.00 lakh
56,Tata NEXON,Tata,2018,"34,615 km",Petrol,Manual,"EMI ₹7,273/m*",₹4.12 lakh
57,Honda City,Honda,2018,"69,608 km",Petrol,Manual,"EMI ₹8,844/m*",₹5.01 lakh
58,Jeep Compass,Jeep,2021,"81,469 km",Petrol,Manual,"EMI ₹16,112/m*",₹9.41 lakh
59,Honda City,Honda,2014,"63,243 km",Petrol,Manual,"EMI ₹8,968/m*",₹2.70 lakh
60,Hyundai Grand i10,Hyundai,2018,"53,194 km",Petrol,Manual,"EMI ₹5,474/m*",₹3.10 lakh
61,Honda City,Honda,2016,"73,026 km",Petrol,Manual,"EMI ₹9,670/m*",₹4.35 lakh
62,Renault Kwid,Renault,2016,"52,889 km",Petrol,Manual,"EMI ₹3,782/m*",₹1.70 lakh
63,Ford New Figo,Ford,2017,"49,256 km",Petrol,Manual,"EMI ₹4,966/m*",₹2.54 lakh
64,Tata ALTROZ,Tata,2024,"5,443 km",Petrol,Manual,"EMI ₹13,928/m*",₹7.89 lakh
65,KIA SELTOS,KIA,2022,"47,335 km",Diesel,Auto,"EMI ₹28,423/m*",₹16.60 lakh
66,Maruti Swift,Maruti,2016,"99,872 km",Petrol,Manual,"EMI ₹6,453/m*",₹2.90 lakh
67,Tata TIGOR,Tata,2019,"24,930 km",Petrol,Auto,"EMI ₹6,696/m*",₹3.79 lakh
68,Volkswagen Ameo,Volkswagen,2017,"38,332 km",Petrol,Manual,"EMI ₹6,247/m*",₹3.20 lakh
69,Honda City,Honda,2018,"47,275 km",Petrol,Auto,"EMI ₹9,342/m*",₹5.29 lakh
70,Maruti New Wagon-R,Maruti,2019,"25,027 km",Petrol,Manual,"EMI ₹6,108/m*",₹3.46 lakh
71,Volkswagen TAIGUN,Volkswagen,2021,"69,800 km",Petrol,Manual,"EMI ₹14,112/m*",₹8.24 lakh
72,Maruti Baleno,Maruti,2019,"79,638 km",Petrol,Auto,"EMI ₹8,615/m*",₹4.88 lakh
73,MG ZS EV,MG,2022,"44,160 km",Electric,Auto,"EMI ₹23,800/m*",₹13.90 lakh
74,Hyundai Elite i20,Hyundai,2017,"38,194 km",Petrol,Manual,"EMI ₹7,253/m*",₹3.71 lakh
75,Maruti XL6,Maruti,2022,"41,367 km",Petrol,Manual,"EMI ₹14,340/m*",₹8.38 lakh
76,Nissan MAGNITE,Nissan,2021,"86,475 km",Petrol,Manual,"EMI ₹8,244/m*",₹4.67 lakh
77,Maruti Swift Dzire,Maruti,2015,"35,909 km",Petrol,Manual,"EMI ₹8,058/m*",₹3.06 lakh
78,Hyundai Grand i10,Hyundai,2014,"76,044 km",Petrol,Manual,"EMI ₹9,210/m*",₹2.77 lakh
79,Maruti Alto K10,Maruti,2016,"79,743 km",Petrol,Manual,"EMI ₹3,777/m*",₹1.70 lakh
80,Volkswagen Polo,Volkswagen,2012,"1,00,825 km",Petrol,Manual,"EMI ₹14,838/m*",₹1.67 lakh
81,Hyundai Creta,Hyundai,2015,"38,577 km",Petrol,Manual,"EMI ₹13,904/m*",₹5.28 lakh
82,Nissan MAGNITE,Nissan,2025,"9,264 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
83,Maruti Wagon R 1.0,Maruti,2016,"1,28,889 km",Petrol,Manual,"EMI ₹4,115/m*",₹1.85 lakh
84,Hyundai Eon,Hyundai,2018,"50,916 km",Petrol,Manual,"EMI ₹3,760/m*",₹2.13 lakh
85,Honda Amaze,Honda,2018,"39,340 km",Petrol,Auto,"EMI ₹8,209/m*",₹4.65 lakh
86,Landrover Range Rover Sport,Landrover,2022,"12,437 km",Diesel,Auto,"EMI ₹238,002/m*",₹1.39 Crore
87,Ford New Figo,Ford,2018,"95,994 km",Petrol,Manual,"EMI ₹5,172/m*",₹2.93 lakh
88,Skoda SLAVIA,Skoda,2023,"21,654 km",Petrol,Manual,"EMI ₹15,629/m*",₹9.13 lakh
89,Maruti Wagon R 1.0,Maruti,2017,"1,01,975 km",CNG,Manual,"EMI ₹6,109/m*",₹2.32 lakh
90,Maruti Ertiga,Maruti,2013,"70,963 km",CNG,Manual,"EMI ₹6,109/m*",₹3.87 lakh
91,Maruti Dzire,Maruti,2020,"27,687 km",Petrol,Manual,"EMI ₹8,046/m*",₹4.56 lakh
92,Renault Kiger,Renault,2021,"57,005 km",Petrol,Manual,"EMI ₹7,626/m*",₹4.32 lakh
93,Toyota Innova,Toyota,2014,"1,70,000 km",Diesel,Manual,"EMI ₹24,666/m*",₹5.24 lakh
94,Tata Tiago,Tata,2019,"45,133 km",Petrol,Auto,"EMI ₹5,746/m*",₹3.25 lakh
95,Hyundai Elite i20,Hyundai,2017,"77,187 km",Petrol,Manual,"EMI ₹7,761/m*",₹3.97 lakh
96,Tata Tiago,Tata,2018,"36,810 km",Petrol,Auto,"EMI ₹8,284/m*",₹4.69 lakh
97,Maruti Ertiga,Maruti,2014,"67,755 km",CNG,Manual,"EMI ₹42,619/m*",₹4.80 lakh
