,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
0,Maruti Alto 800,Maruti,2013,59183,Petrol,Manual,8084,172000.0,Agra
1,Tata TIGOR,Tata,2018,60000,Petrol,Manual,5737,325000.0,Agra
2,Hyundai Creta,Hyundai,2018,77164,Diesel,Manual,12871,658000.0,Agra
3,Mahindra Kuv100,Mahindra,2016,92583,Diesel,Manual,6683,254000.0,Agra
4,Mahindra Kuv100,Mahindra,2018,44360,Petrol,Manual,5649,320000.0,Agra
5,Maruti Vitara Brezza,Maruti,2018,92123,Diesel,Manual,11364,581000.0,Agra
6,Renault Kwid,Renault,2016,51025,Petrol,Manual,1869,84000.0,Agra
7,Maruti Swift Dzire,Maruti,2014,146456,Diesel,Manual,10027,213000.0,Agra
8,Maruti Wagon R 1.0,Maruti,2015,91043,Petrol,Manual,5662,215000.0,Agra
9,Renault TRIBER,Renault,2021,77734,Petrol,Manual,7785,441000.0,Agra
10,Maruti Wagon R 1.0,Maruti,2017,25383,Petrol,Manual,5318,272000.0,Agra
11,Maruti Swift,Maruti,2015,69191,Petrol,Manual,7136,271000.0,Agra
12,Ford Ecosport,Ford,2018,65233,Petrol,Auto,8597,487000.0,Agra
13,Maruti Swift,Maruti,2019,72828,Petrol,Manual,6584,373000.0,Agra
14,Mahindra XUV300,Mahindra,2019,111654,Diesel,Manual,12234,550000.0,Agra
15,Ford Ecosport,Ford,2016,62580,Diesel,Manual,7531,286000.0,Agra
16,Maruti Dzire,Maruti,2020,116330,Petrol,Manual,9031,406000.0,Agra
17,Mahindra TUV300,Mahindra,2018,120160,Diesel,Manual,7207,324000.0,Agra
18,Maruti Vitara Brezza,Maruti,2016,75779,Diesel,Manual,9770,371000.0,Agra
19,Maruti Swift Dzire,Maruti,2013,61591,Petrol,Manual,10356,220000.00000000003,Agra
20,Renault Kwid,Renault,2018,40927,Petrol,Manual,3125,177000.0,Agra
21,Hyundai Verna,Hyundai,2012,155731,Diesel,Manual,3125,183000.0,Agra
22,Hyundai Elite i20,Hyundai,2019,27918,Petrol,Manual,6514,369000.0,Agra
23,Mahindra XUV500,Mahindra,2013,73010,Diesel,Manual,20169,227000.0,Agra
24,MG HECTOR,MG,2019,39851,Petrol,Auto,13823,783000.0,Agra
25,Datsun Go,Datsun,2015,30000,Petrol,Manual,2844,108000.0,Agra
26,Maruti Swift,Maruti,2013,189478,Diesel,Manual,20435,230000.0,Agra
27,Maruti Swift,Maruti,2012,119457,Diesel,Manual,20435,194000.0,Agra
28,Hyundai Verna,Hyundai,2013,139497,Diesel,Manual,19280,217000.0,Agra
29,Maruti Swift,Maruti,2012,51449,Diesel,Manual,19280,196000.0,Agra
30,Maruti Swift Dzire,Maruti,2014,111693,Diesel,Manual,11721,249000.00000000003,Agra
31,Hyundai Verna,Hyundai,2017,195000,Diesel,Manual,11745,528000.0,Agra
32,Maruti Alto 800,Maruti,2018,73600,Petrol,Manual,3566,202000.0,Agra
33,Maruti Swift Dzire,Maruti,2013,62136,Diesel,Manual,20435,230000.0,Agra
34,Maruti Swift Dzire,Maruti,2013,113897,Petrol,Manual,9462,201000.0,Agra
35,Tata Tiago,Tata,2019,82203,Petrol,Manual,3884,220000.00000000003,Agra
36,Hyundai Verna,Hyundai,2012,138968,Diesel,Manual,3884,150000.0,Agra
37,Maruti Swift,Maruti,2013,62498,Diesel,Manual,19014,214000.0,Agra
38,Maruti Swift,Maruti,2012,95641,Diesel,Manual,19014,220000.00000000003,Agra
39,Hyundai Elite i20,Hyundai,2019,17783,Petrol,Manual,7944,450000.0,Agra
40,Maruti Swift Dzire,Maruti,2014,75803,Petrol,Manual,11226,338000.0,Agra
41,Maruti Celerio,Maruti,2016,46191,Diesel,Manual,4687,178000.0,Agra
42,Maruti Wagon R 1.0,Maruti,2015,40019,Petrol,Manual,5925,225000.0,Agra
43,Maruti Swift,Maruti,2013,89036,Petrol,Manual,11298,240000.0,Agra
44,Renault Kwid,Renault,2021,23962,Petrol,Manual,4590,260000.0,Agra
45,Maruti Eeco,Maruti,2023,63134,Petrol,Manual,6161,349000.0,Agra
46,Hyundai GRAND I10 NIOS,Hyundai,2019,50152,Petrol,Manual,6267,355000.0,Agra
47,Maruti Swift Dzire,Maruti,2012,88220,Petrol,Manual,17592,198000.0,Agra
48,Maruti Swift,Maruti,2013,64368,Petrol,Manual,11062,235000.0,Agra
49,Tata TIGOR,Tata,2017,77000,Petrol,Manual,4653,238000.0,Agra
50,Maruti Wagon R 1.0,Maruti,2014,42240,Petrol,Manual,6875,207000.0,Agra
51,Hyundai Eon,Hyundai,2015,32494,Petrol,Manual,4398,167000.0,Agra
52,Honda City,Honda,2012,95345,Petrol,Manual,16437,185000.0,Agra
53,Maruti Ciaz,Maruti,2020,122604,Petrol,Manual,9454,425000.0,Agra
54,Honda City,Honda,2015,84961,Diesel,Manual,8968,270000.0,Agra
55,Maruti Wagon R 1.0,Maruti,2014,68222,Petrol,Manual,6244,188000.0,Agra
